accession	message	sample_name	sample_title	bioproject_accession	organism	collection_date	env_broad_scale	env_local_scale	env_medium	geo_loc_name	host	lat_lon	altitude	chem_administration	depth	elev	gravidity	host_age	host_blood_press_diast	host_blood_press_syst	host_body_habitat	host_body_product	host_body_temp	host_color	host_diet	host_disease	host_dry_mass	host_family_relationship	host_genotype	host_growth_cond	host_height	host_infra_specific_name	host_infra_specific_rank	host_last_meal	host_length	host_life_stage	host_phenotype	host_sex	host_shape	host_subject_id	host_substrate	host_taxid	host_tissue_sampled	host_tot_mass	isolation_source	misc_param	omics_observ_id	organism_count	oxy_stat_samp	perturbation	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_salinity	samp_size	samp_store_dur	samp_store_loc	samp_store_temp	size_frac	source_material_id	temp	description
SAMN31685116	Successfully loaded	AH11	Larvae_93hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-24	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_93hpf_rep3																		Larvae_93hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685117	Successfully loaded	AH12	Egg_1hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-20	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Egg_1hpf_rep2																		Egg_1hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685118	Successfully loaded	AH13	Larvae_93hpf_rep4	PRJNA900235	Montipora capitata coral holobiont	2020-07-24	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_93hpf_rep4																		Larvae_93hpf_rep4							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685119	Successfully loaded	AH14	Larvae_163hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-27	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_163hpf_rep1																		Larvae_163hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685120	Successfully loaded	AH15	Larvae_163hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-27	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_163hpf_rep2																		Larvae_163hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685121	Successfully loaded	AH16	Larvae_163hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-27	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_163hpf_rep3																		Larvae_163hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685122	Successfully loaded	AH17	Larvae_163hpf_rep4	PRJNA900235	Montipora capitata coral holobiont	2020-07-27	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_163hpf_rep4																		Larvae_163hpf_rep4							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685123	Successfully loaded	AH18	Larvae_231hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_231hpf_rep1																		Larvae_231hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685124	Successfully loaded	AH19	Egg_1hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-20	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Egg_1hpf_rep3																		Egg_1hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685125	Successfully loaded	AH20	Larvae_231hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_231hpf_rep2																		Larvae_231hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685126	Successfully loaded	AH21	Larvae_231hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_231hpf_rep3																		Larvae_231hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685127	Successfully loaded	AH22	Larvae_231hpf_rep4	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Larvae_231hpf_rep4																		Larvae_231hpf_rep4							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685128	Successfully loaded	AH23	Polyp_183hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-28	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Polyp_183hpf_rep1																		Polyp_183hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685129	Successfully loaded	AH24	Polyp_231hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Polyp_231hpf_rep1																		Polyp_231hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685130	Successfully loaded	AH25	Polyp_231hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Polyp_231hpf_rep2																		Polyp_231hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685131	Successfully loaded	AH26	Egg_1hpf_rep4	PRJNA900235	Montipora capitata coral holobiont	2020-07-20	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Egg_1hpf_rep4																		Egg_1hpf_rep4							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685132	Successfully loaded	AH27	Polyp_231hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Polyp_231hpf_rep3																		Polyp_231hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685133	Successfully loaded	AH28	Embryo_5hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-21	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_5hpf_rep1																		Embryo_5hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685134	Successfully loaded	AH29	Embryo_5hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-21	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_5hpf_rep2																		Embryo_5hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685135	Successfully loaded	AH30	Embryo_5hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-21	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_5hpf_rep3																		Embryo_5hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685136	Successfully loaded	AH31	Embryo_5hpf_rep4	PRJNA900235	Montipora capitata coral holobiont	2020-07-21	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_5hpf_rep4																		Embryo_5hpf_rep4							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685137	Successfully loaded	AH32	Embryo_38hpf_rep4	PRJNA900235	Montipora capitata coral holobiont	2020-07-22	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Embryo_38hpf_rep4																		Embryo_38hpf_rep4							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685138	Successfully loaded	AH33	Recruit_183hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-28	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Recruit_183hpf_rep1																		Recruit_183hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685139	Successfully loaded	AH34	Recruit_231hpf_rep1	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Recruit_231hpf_rep1																		Recruit_231hpf_rep1							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685140	Successfully loaded	AH35	Recruit_231hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Recruit_231hpf_rep2																		Recruit_231hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685141	Successfully loaded	AH36	Recruit_183hpf_rep2	PRJNA900235	Montipora capitata coral holobiont	2020-07-28	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Recruit_183hpf_rep2																		Recruit_183hpf_rep2							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685142	Successfully loaded	AH37	Recruit_183hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-28	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Recruit_183hpf_rep3																		Recruit_183hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685143	Successfully loaded	AH38	Recruit_231hpf_rep3	PRJNA900235	Montipora capitata coral holobiont	2020-07-30	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Recruit_231hpf_rep3																		Recruit_231hpf_rep3							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
SAMN31685144	Successfully loaded	AH39	Recruit_183hpf_rep4	PRJNA900235	Montipora capitata coral holobiont	2020-07-28	coral reef [ENVO:00000150]	coral reef [ENVO:00000150]	seawater [ENVO:00002149]	USA: Kaneohe Bay Oahu Hawaii	Montipora capitata	21.448889N, 157.795833W						Recruit_183hpf_rep4																		Recruit_183hpf_rep4							Whole host organism																				Early life stage sample of Montipora capitata offspring fertilized from wildtype gametes collected in Kaneohe Bay, Oahu, Hawaii coral reef environment. Early life stages reared in flow-through laboratory tank systems at ambient conditions sampled by preservation in RNA/DNA shield across ontogeny.
