"Position (bp)"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
16	35.98738328465315	35.99968208014286	35.97204222375705	36.0092129881655	35.987483945799355	36.04505342719514	36.002851701594594	36.022158489849446	36.00380067859022	35.95429913056428	35.99807002022109	36.026306277991665	35.98710214029709	36.01848095607521	35.989811969681575	35.998084293133495	36.01531177789611	35.993360166606124	35.99604114686653	35.98520409104497	35.979910622309205	35.97111913597224	35.97505917354029	35.936164027472984	35.985593031793	36.00605649805125	35.98697961781055	35.98265511898931	35.99169609976782	36.010939934750525	36.006474756762614	36.03697873113093	35.94339315565314	35.95338684490724	36.010665532496	35.970077208036145	36.00482610748011	35.9677304986037	35.98556265343388
18	36.01624031935218	36.028417976676856	36.002125734339906	36.03668769655931	36.01532277942204	36.07077301418509	36.03206656187914	36.05410963705976	36.03161374615034	35.99292841199791	36.030746589236706	36.05572487214278	36.01497659358503	36.04493296566146	36.019378479988575	36.02630938799203	36.04053246994338	36.02362106684451	36.0282693531597	36.00913738651663	36.00462536484433	35.99802168572571	35.99927234915046	35.96112609614855	36.01169210403364	36.04156105511656	36.02310236847106	36.01916533096908	36.0301490180598	36.051391801585154	36.039142718868774	36.06892348977074	35.97201205334032	35.97987879092901	36.04408679938848	36.00460240203302	36.02985176452353	35.9901770399717	36.024234483300795
20	36.01318960965957	36.0267967206905	36.00088974106107	36.03459286603602	36.012366183771654	36.0700918718546	36.030094917654594	36.055275607039505	36.031491640259055	35.996435162755276	36.035121912413985	36.051585007311985	36.01902973443349	36.045252277067846	36.020988808729726	36.03039332614398	36.043792532377125	36.02260255492314	36.02835883016994	36.00562470083753	36.002569211630714	36.00155979916589	35.99865061659298	35.961181913380265	36.007656517676374	36.04778103441167	36.02672812606997	36.01894962979263	36.035191167992025	36.052275027622755	36.0419665234314	36.068374914041776	35.979154939431474	35.985222060411076	36.04696650199551	36.00708224798883	36.02545155222177	35.990781441548094	36.02434049487154
22	35.98826990981821	36.005611082550935	35.974326480448724	36.008698004489865	35.98612520978514	36.04510154541342	36.00467349364171	36.03198730488427	36.002420085675865	35.97808030403858	36.01378732059294	36.021580633017834	35.98677515747741	36.01273304994885	35.994433304479465	36.002800748457496	36.01426181136021	35.998339078036466	35.99823198809844	35.97628937166607	35.97536334686548	35.973487400037996	35.96952894891534	35.93405617365846	35.98234893318798	36.0237298050922	35.999631570690326	35.987023943998835	36.00841050865593	36.02938986284807	36.01277969080928	36.04323947239189	35.95097182029372	35.96152047177853	36.02165082338891	35.98110153081531	36.0021058737603	35.96773623625076	36.00157540340976
24	35.978400681649276	35.991436186044	35.95941003112032	35.996549933756924	35.97136484591045	36.030868935157805	35.989107020839484	36.01866472010188	35.986148148423425	35.96742090340629	36.002010928632785	36.00740956176139	35.97242831283292	36.00486051220377	35.984701362477026	35.989617678791475	36.004312960131315	35.98827262947775	35.98455433945559	35.96865501312496	35.970128040486685	35.960642529195304	35.964223458673885	35.92852668049327	35.97068380537077	36.013761551631866	35.986140429672076	35.97518385047098	35.9973481641536	36.01395230954995	36.00102342396135	36.03007281078986	35.94267325716843	35.95077217625944	36.01203146175298	35.965816326170355	35.98803923825001	35.9566173257888	35.98794481680843
26	35.90826828925529	35.92160502178089	35.8869062140991	35.92914614939855	35.9034150653502	35.96992691221999	35.91910485593218	35.95583096315027	35.921874394447684	35.902649050162225	35.9357819734535	35.94465567972192	35.90099226488799	35.93590428900043	35.91384638338429	35.91832352224969	35.93657772219427	35.92842068747218	35.91460563063801	35.89731285893298	35.90225156766733	35.89644884394612	35.89736400247638	35.8580009625244	35.903568786570844	35.94679649579902	35.92036030320527	35.90402274728743	35.92640668581549	35.95200090666006	35.93705234058926	35.96704540807694	35.87094171893841	35.880816082284205	35.94472066299518	35.89318150631812	35.9200479557736	35.88533691247035	35.91852534331669
28	35.871230703590186	35.884401634243346	35.860820124091845	35.89725127094511	35.87270741732839	35.93233660071343	35.88360206748648	35.92019118117092	35.88242742264725	35.86767474017785	35.908768276649425	35.9128567893619	35.86516555269852	35.893196877215665	35.88151659011603	35.8765621536359	35.9012403699126	35.902144598324355	35.8851838404968	35.8706952590447	35.86820820704526	35.86730845626384	35.863669283226294	35.823249641923134	35.8697532649565	35.90402256164238	35.88428274539232	35.8637979295236	35.8864915050876	35.909452551728776	35.902143852358634	35.932178632539234	35.835082348921034	35.8456387405449	35.904996865351904	35.85378323613777	35.88873497272251	35.8437379969506	35.88414221750001
30	35.81013459534671	35.82359127682026	35.82001321783193	35.840254010119594	35.81976689260526	35.84508748930318	35.79130879922063	35.83476495027814	35.78774226737899	35.815432483943155	35.8375596231847	35.85619525535675	35.7886515728918	35.810388284475025	35.80430647179803	35.776635866897664	35.83495385863007	35.8757214556778	35.83037805045966	35.840864706256916	35.85255977457189	35.80611080774302	35.834845242040885	35.781723056419594	35.82471216098961	35.810618158068934	35.820396952452604	35.7678921523855	35.80302269292099	35.822942778188036	35.83771963285226	35.867224790183144	35.76929802538778	35.76662278680668	35.81730974982659	35.75764707433018	35.82943737685206	35.776306245721116	35.810221897702405
32	35.74922168667682	35.76492735193052	35.75358845810669	35.78627125671548	35.77456222446255	35.76939274009892	35.7081235891457	35.761740249526596	35.70681658792606	35.747050431795856	35.7537819670034	35.80039661830707	35.71897519521414	35.72196474429067	35.73704000483613	35.68594747949143	35.77695789386264	35.828774830608154	35.77366061437293	35.782773676757145	35.79449703893435	35.73482174135058	35.77172692935445	35.71907230326004	35.77469158119563	35.73769157509564	35.76575557168629	35.68389783814531	35.732781895526344	35.7504800301262	35.77988448748614	35.80847907308803	35.69442239718303	35.68404584621948	35.73881635069546	35.67180876941882	35.775074270388835	35.71397223152034	35.74636862724545
34	35.70755701406218	35.71718769447226	35.71566267268227	35.74341761607874	35.73337461906817	35.70026143566395	35.63651815252223	35.69793087940799	35.632238822134724	35.69895623412931	35.69623173947584	35.751375439921475	35.65227689763659	35.651847990323496	35.676604315732476	35.60725762035918	35.72788609505757	35.79965263136994	35.72538272165294	35.747560926985614	35.76577199864846	35.6908862909951	35.73356781272082	35.674562006917895	35.740532182348105	35.66715239262082	35.71454066958154	35.6145353068097	35.66905628820892	35.68617265015496	35.727315735857886	35.755494479728114	35.6392935310882	35.62075495830105	35.66115878411428	35.595017806828565	35.72956842152233	35.65920130220772	35.689060916154375
36	35.719508538973905	35.73058564896236	35.735148093551096	35.75375788670124	35.74508458446149	35.71010091248914	35.64418012028766	35.70558425372862	35.64322782145571	35.711269155580354	35.710455732372125	35.77007372972491	35.66084662497263	35.6606262714926	35.687352745597636	35.61595111310072	35.740842684553265	35.81353324355166	35.73612691472953	35.76164965701326	35.7769046125409	35.693513414405686	35.74327301592761	35.68375434448903	35.74845220481901	35.67254296613231	35.7241444724951	35.62527459152719	35.679456128231365	35.69383394403334	35.736409399817234	35.768341975112726	35.64446080243405	35.626689474651414	35.6639378997394	35.60468358074127	35.74122435176335	35.67457613944258	35.69601360759758
38	35.75316497203896	35.762643875645985	35.77951545306581	35.78251754768293	35.776919472209876	35.760948392112766	35.70147416656707	35.74529632823881	35.69374714312032	35.73621429742921	35.770661469313076	35.80261484281273	35.70646181864424	35.72079067700937	35.72937139299867	35.67566685363715	35.78034253066728	35.83942925955819	35.76872749339238	35.80395631399696	35.81239810438734	35.74411023023646	35.78309546013095	35.72927537754116	35.7865077202038	35.70968838669857	35.74774406989138	35.671024800431276	35.713439413692626	35.7195467058943	35.757115134841364	35.79296438731529	35.69056512777611	35.68781946031004	35.72656527587222	35.66615662241968	35.7790831100329	35.72046345898275	35.74021316663709
40	35.70845541362969	35.721042506561325	35.75532281175585	35.73640797952412	35.727931646238346	35.719270527810934	35.65898064437564	35.66597080778452	35.65981033238816	35.67431695946341	35.74324163071627	35.773653849085676	35.66230444728771	35.704345011537626	35.69529673393948	35.63045000130769	35.743366048354396	35.80759702435668	35.733444846953944	35.781254382674454	35.79460196214443	35.71246882726752	35.76213331165461	35.713570933944254	35.75802528533606	35.63936858087409	35.68911581915371	35.619718932127306	35.635987160242465	35.63750482969586	35.69086408112565	35.728214256103556	35.649302786316426	35.657277669476144	35.67451223042744	35.6209683967923	35.74433208316405	35.677874420443516	35.69343931314032
42	35.54434784370177	35.57089193430558	35.637168222682675	35.58468576755766	35.59530755686847	35.528691036714	35.45918597230272	35.49504189045936	35.469984381063824	35.48404824878077	35.562915534762325	35.64747868264554	35.50182543409868	35.566550182427136	35.53701595280142	35.404791057309204	35.598764637488586	35.707945093797704	35.58935333462205	35.686654769926825	35.71667808694838	35.55559021037803	35.66997364940498	35.59146048010855	35.638202215943224	35.40383600431328	35.50731553839853	35.40813678789406	35.42246178458086	35.398944064365025	35.51039508699812	35.54945603872237	35.49173257914991	35.468654219623396	35.48779971552986	35.416718506650696	35.60985242209536	35.512501683404	35.509453016029184
44	35.507882266104026	35.536861792797424	35.635640726957845	35.54935546927605	35.575239772614445	35.482527496267345	35.40461643931381	35.438357054178184	35.42281606977237	35.40604115963722	35.519932338368356	35.638476080350976	35.46943577157616	35.57258235542022	35.50745085731999	35.343334815385475	35.57797500696151	35.70360730758943	35.57065555477316	35.699019490962094	35.740490932081926	35.5218614356264	35.68972389329065	35.595318900059034	35.63139753487441	35.30519609852114	35.434976208117796	35.3349159561945	35.32993151609904	35.28903292423673	35.44538947859702	35.4906234724009	35.45742552356884	35.414799271572775	35.429621353501076	35.35739450004249	35.59412905786397	35.468615936628666	35.46021695446625
46	35.38180538305423	35.43386130577126	35.54381974725764	35.43297515476542	35.46132553436168	35.368140907713254	35.27157882630453	35.30379401644778	35.303501359888	35.26889507483142	35.4040465826791	35.54672168348171	35.3648447675174	35.50831788916961	35.40605583930669	35.20018686045239	35.47665732765991	35.61783447078845	35.46743249867802	35.629302459732955	35.684184152695835	35.40768752466249	35.62138314437406	35.51035632056252	35.54490149509422	35.148668961147465	35.2982017765954	35.199456891838445	35.190240200075834	35.121764593683366	35.30219846016382	35.36704171276429	35.33743721685326	35.284425527828084	35.29667627929306	35.233977679032705	35.49902961186823	35.347759113223916	35.32979008517851
48	35.3389144000942	35.3925284775021	35.53523789233996	35.39175365555839	35.43033366777633	35.31411832449569	35.21672097727524	35.23290878274501	35.26354194151553	35.207818606150525	35.33263700835396	35.53957000571121	35.34214086635642	35.50293095684228	35.37820191104348	35.144097619414595	35.455458800080116	35.60336926546836	35.446130579026146	35.627729308966174	35.68907594611289	35.35907843416004	35.623804022237366	35.495534477974005	35.52555203906823	35.059336512294834	35.2454100745187	35.14814114652344	35.116706747625	35.02980448999229	35.24471500606897	35.31098813410721	35.29325528709445	35.23027991995427	35.239169343649515	35.182673041395965	35.482905246248905	35.29708064187166	35.280102819312205
50	35.24434037391957	35.29871587434725	35.46733649232644	35.30871005583528	35.34739376662124	35.194907535153256	35.09212187977097	35.1079752788235	35.15276084074684	35.0808582755689	35.224981375313504	35.473292999135694	35.25225100527993	35.41951442406179	35.296398497198	35.01623596166098	35.37302476343083	35.55606335798241	35.36943039249236	35.55690092572003	35.65735335825628	35.25190225081411	35.57565614623134	35.42193292921084	35.443452844461255	34.92027674072142	35.15217055866752	35.015535370107536	34.98971520877591	34.88741035872188	35.145062138816726	35.21520047164945	35.17927647962602	35.100439014074496	35.12362681103493	35.05581889404425	35.41339802587545	35.201883766962325	35.15783264703745
52	35.18101865040026	35.23824805865959	35.393801020086755	35.25565032146423	35.28309707776749	35.11418563010308	34.99415700539197	35.02785014935051	35.07469177553115	34.97744099921012	35.12537751943901	35.41071115703012	35.19962444605736	35.36751253857531	35.23702637106244	34.91273484834443	35.31825368715711	35.500226829145795	35.31116785214361	35.490558615809825	35.614229717911336	35.16645430900056	35.522215677783265	35.350560482490465	35.36421090395355	34.840241082528905	35.08958728815584	34.944139767565254	34.91940597942107	34.78302148385893	35.08069259797342	35.1567241184616	35.09211671698135	34.9995435786573	35.05126811366175	34.97813670739254	35.36571737563086	35.128628412222014	35.085045936362086
54	35.17689229207102	35.237001406964474	35.39972739653381	35.251079951928304	35.26351409758867	35.13573989647196	34.99781648802423	35.0272079596197	35.10669506601947	35.00016577624284	35.111824122758456	35.417003456044206	35.212169499446574	35.40627240105633	35.261362142611844	34.94106747873983	35.330118785326604	35.485028692368516	35.31555480455664	35.48793382154136	35.615767787649894	35.15246317177764	35.5250683387947	35.34369984161681	35.349928805037045	34.85841416629591	35.09118485531725	34.958650689840184	34.93258568927995	34.83310473589443	35.07927496801357	35.16448540051374	35.073464200568196	34.985616956064426	35.09312687275625	35.01407882172482	35.37208161405701	35.137421193958886	35.061357114865324
56	35.13137561736484	35.20122514137287	35.36142500598468	35.219334191672225	35.219574228816285	35.08939246856043	34.937594742883434	34.97429925415827	35.059543876097564	34.93230226087219	35.03162326639913	35.38913568403758	35.18239271543336	35.39332442129132	35.2297926251574	34.870171089420054	35.29400980473578	35.45824813613487	35.285937465661235	35.45136066978275	35.59218720069499	35.09101640712087	35.50138113935252	35.29661119093884	35.29566558947205	34.80431469462545	35.04604559355748	34.90287712021193	34.88289564580552	34.76990471577546	35.02859481504558	35.127626063621655	35.01716984548952	34.913904551839025	35.06137329606646	34.97742295142623	35.34819931001928	35.088620773573396	34.9951951744486
58	35.016827013770985	35.08463215996104	35.24726749386929	35.10999644357523	35.104871966495395	34.95388258116505	34.787446018261896	34.842777325219046	34.91664494420557	34.772133661602496	34.86673647116748	35.28949981764002	35.073100917296415	35.29424824348645	35.120717290840545	34.71508224627644	35.19642080733963	35.35726174471559	35.18362521376932	35.34792181636081	35.51132055105992	34.95242313604664	35.40911546110024	35.186181317900804	35.1806677865041	34.6497662546406	34.9138612489194	34.76054015143051	34.74128317067216	34.61309784122801	34.90392084985995	35.011134614800234	34.87557210599209	34.754192173470585	34.93232958345948	34.844100633353975	35.25246049285008	34.961288203527545	34.870328552489426
60	34.96909637158495	35.0452869395817	35.20044441237344	35.06530738106571	35.05996770827507	34.8992471395616	34.71946759066113	34.79954663981124	34.872434249959255	34.68910167892335	34.79479745048736	35.26719513925619	35.05517103416552	35.28610993878185	35.09369437966973	34.66444557749631	35.162717089161056	35.33285752162878	35.1522320141118	35.311679640209576	35.49883639758018	34.89226546435469	35.39411971737404	35.15903620716027	35.13816481077714	34.58434360434503	34.853639304692976	34.71243624017662	34.68273385031709	34.52965122982101	34.84321288989843	34.96293263763914	34.81895033041741	34.68266884819292	34.89202953613612	34.8010820375691	35.23096435256183	34.91366789805955	34.82035731855048
62	34.85756872516139	34.93261465407614	35.09271404240015	34.96321233428663	34.949387284189925	34.75477967646189	34.56183403730406	34.653841426242664	34.74112582162665	34.531973135529796	34.62227276001191	35.17927569663273	34.94683964046351	35.184306904736914	34.99066073640385	34.51078503988971	35.06666035652697	35.24019594674304	35.049284901528196	35.21154578204964	35.4267869156335	34.74819484911977	35.31661009874243	35.03758365051583	35.01692229181035	34.422692653005214	34.74868461913082	34.560029924157305	34.54511211414503	34.380415913974424	34.7268140620767	34.84595470184455	34.66762809553682	34.49476062004966	34.76135479071173	34.642598203523896	35.13029210279726	34.78769060355284	34.69769966802893
64	34.77767206136869	34.84743878351687	35.029519519209956	34.89817301210305	34.870101812870175	34.661524473005684	34.444984856924435	34.58378478290031	34.66782472601827	34.42447672675928	34.51481697281387	35.121807439583726	34.89035275581442	35.128472831156614	34.93510748172624	34.442467218166115	35.016036263355105	35.171076714271194	34.97855545533931	35.149305010734636	35.38489230396294	34.64734953717544	35.2628837290743	34.974434272985576	34.93923134469486	34.32738072894584	34.67581900737999	34.49247955883534	34.4789408758252	34.276301552002145	34.655017788870445	34.75545527564969	34.59625831962683	34.38439253713012	34.71291945378729	34.582736849884824	35.07031720795004	34.72157450562051	34.62272745139846
66	34.759081039540476	34.80753267133851	35.044772828535855	34.8865168249954	34.8409561626319	34.638328896208	34.38048956221515	34.62465721513043	34.61160412102074	34.383223656305205	34.48962736651771	35.11860599571483	34.86326000838288	35.122614828021554	34.97299818259225	34.398300583027975	35.00817537628788	35.154995438888704	34.93866149120277	35.144400779424245	35.40255467916312	34.59573034872273	35.26490155070633	34.938715979827734	34.89607871493092	34.321702883813245	34.68519329518914	34.42984868843914	34.490887771585285	34.264239233493385	34.6892455690797	34.72504932398288	34.564045048794185	34.34010258283228	34.75226022591991	34.61950310816304	35.03165550751628	34.67702449087584	34.6195691403891
68	34.696849271189805	34.75073338023215	34.973221176478674	34.787267999313485	34.76906639554392	34.49953898354357	34.30002018325038	34.47919783694306	34.57535831442904	34.299714021253294	34.31820983705953	35.05576732507807	34.82995894867851	35.06610648546584	34.86175649308472	34.351410137490596	34.93507941005486	35.0776131780492	34.89131458547028	35.0811394090682	35.304543838304085	34.43126299002251	35.19814801280087	34.8763519177452	34.76916687988074	34.19349010302601	34.589721467872295	34.30575349699293	34.39314888301381	34.184921665027645	34.59883457684974	34.706600710025256	34.443845145249924	34.21630527731117	34.6105533741467	34.46627211790283	34.99100418262648	34.599664878108555	34.51469618155851
70	34.635997007022866	34.733154576693096	34.90348325378581	34.74284001652194	34.6788084016292	34.49849705440633	34.295124786610046	34.362772978937834	34.56631570955999	34.22439717301431	34.23599074194516	34.97791415359754	34.83067500547458	34.99886368456184	34.784624061552634	34.26996028421884	34.886328451320736	35.03994365479922	34.878060326790674	34.98691847923007	35.25711201477287	34.379590213921006	35.1136761229684	34.79944940390354	34.69902899526109	34.126265159193196	34.567251368859075	34.237730415798794	34.301601203986976	34.063600603177164	34.49916116081266	34.5998356242396	34.31877510179365	34.09575163383603	34.5662215665114	34.3827503129817	34.963817110488506	34.55259960880073	34.38311938451349
