"Position in Read (bp)"	"AH10_S41_L002_R1_001"	"AH11_S42_L002_R1_001"	"AH12_S43_L002_R1_001"	"AH13_S44_L002_R1_001"	"AH14_S45_L002_R1_001"	"AH15_S46_L002_R1_001"	"AH16_S47_L002_R1_001"	"AH17_S48_L002_R1_001"	"AH18_S49_L002_R1_001"	"AH19_S50_L002_R1_001"	"AH1_S32_L002_R1_001"	"AH20_S51_L002_R1_001"	"AH21_S52_L002_R1_001"	"AH22_S53_L002_R1_001"	"AH23_S54_L002_R1_001"	"AH24_S55_L002_R1_001"	"AH25_S56_L002_R1_001"	"AH26_S57_L002_R1_001"	"AH27_S58_L002_R1_001"	"AH28_S59_L002_R1_001"	"AH29_S60_L002_R1_001"	"AH2_S33_L002_R1_001"	"AH30_S61_L002_R1_001"	"AH31_S62_L002_R1_001"	"AH32_S63_L002_R1_001"	"AH33_S64_L002_R1_001"	"AH34_S65_L002_R1_001"	"AH35_S66_L002_R1_001"	"AH36_S67_L002_R1_001"	"AH37_S68_L002_R1_001"	"AH38_S69_L002_R1_001"	"AH39_S70_L002_R1_001"	"AH3_S34_L002_R1_001"	"AH4_S35_L002_R1_001"	"AH5_S36_L002_R1_001"	"AH6_S37_L002_R1_001"	"AH7_S38_L002_R1_001"	"AH8_S39_L002_R1_001"	"AH9_S40_L002_R1_001"
12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
16	0.000012660647794705065	0.000027057009118212074	0.000011453927150732536	0.000009829808658842532	0	0.000019966065674779144	0.000011275558873075544	0	0.000026544758976242974	0.000011782248957977902	0.000010750179796757102	0	0.000011477108448115895	0	0	0.000012696049218012241	0.000012213173617590878	0.000011680182584614164	0.00003363797377404162	0.000009918358027730539	0.000040200463631947065	0	0.000019542120304419333	0	0	0.000010256037883342493	0.00001076020180112866	0.000021240883943633493	0.00001298519168739969	0.000024495498870430898	0.000047238585799561485	0.000028136898390907053	0.000021330325473037296	0.00004617312520951056	0.000022082762217895472	0.000011768441324081454	0	0.00001082574917432011	0.000023822824886752247
18	0.00005064259117882026	0.00013528504559106035	0.000057269635753662676	0.00010812789524726786	0.00009366901811585573	0.0001098133612112853	0.000045102235492302175	0.00004600212971459727	0.0001061790359049719	0.00010604024062180111	0.00004300071918702841	0.00005863665095595332	0.00005738554224057947	0.00004512172487720122	0.0001286205064818304	0.00008887234452608568	0.0000610658680879544	0.00011680182584614163	0.00008970126339744432	0.00011902029633276647	0.0000904510431718809	0.00008857462611543133	0.000087939541369887	0.00004304670826126597	0.000055621064809664717	0.00007179226518339744	0.00008608161440902927	0.00003186132591545024	0.00007791115012439814	0.00005715616403100542	0.00010628681804901335	0.00010316862743332587	0.00006399097641911188	0.00008080296911664348	0.00007728966776263415	0.00007061064794448873	0.0000352270618986447	0.000032477247522960334	0.00011911412443376123
20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
24	0	0	0	0	0	0	0.000011275558873075544	0	0	0	0	0.00002345466038238133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000009378966130302351	0	0.00001154328130237764	0.000011041381108947736	0.000011768441324081454	0	0	0.000011911412443376124
26	0	0.00005411401823642415	0.00006872356290439521	0.00005897885195305519	0.000013381288302265104	0.00007986426269911658	0.000045102235492302175	0.00001840085188583891	0.00003981713846436446	0.000058911244789889516	0.000032250539390271304	0.00009381864152952532	0.00004590843379246358	0.00003008114991813415	0.00007717230388909825	0.000050784196872048964	0.000024426347235181756	0.00008176127809229914	0.0000560632896234027	0.00007934686422184431	0.000020100231815973532	0.00005535914132214458	0.00003908424060883867	0	0.00004171579860724854	0.000051280189416712455	0.00002152040360225732	0.00003186132591545024	0.00005194076674959876	0.000032660665160574524	0.00005904823224945185	0.00010316862743332587	0.00004266065094607459	0.00006925968781426582	0.000044165524435790945	0.000035305323972244365	0.000023484707932429797	0	0.00008337988710363286
28	0.00021523101250998608	0.000378798127654969	0.0005039727946322316	0.0003243836857418036	0.000388057360765688	0.00045921951051992036	0.0003269912073191908	0.00030361405611634194	0.0004512609025961305	0.0003299029708233813	0.0003547559332929843	0.0004925478680300079	0.00036726747033970865	0.0003008114991813415	0.00043730972203822346	0.0004824498702844652	0.0003663952085277264	0.0005372883988922515	0.00045971897491190215	0.00048599954335879647	0.0003417039408715501	0.0004318013023127278	0.0005080951279149026	0.00037307147159763843	0.00041715798607248536	0.00032819321226695977	0.0003981274666417604	0.0002548906073236019	0.0003895557506219907	0.00045724931224804335	0.00040152797929627265	0.0006002538323393505	0.00039461102125118994	0.00045018797079272795	0.0003974897199221185	0.0004001270050187695	0.00027007414122294266	0.00020568923431208208	0.0006193934470555585
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
