numsampled	0.03-WSH174	lci-WSH174	hci-WSH174	0.03-WSH175	lci-WSH175	hci-WSH175	0.03-WSH176	lci-WSH176	hci-WSH176	0.03-WSH177	lci-WSH177	hci-WSH177	0.03-WSH178	lci-WSH178	hci-WSH178	0.03-WSH179	lci-WSH179	hci-WSH179	0.03-WSH180	lci-WSH180	hci-WSH180	0.03-WSH181	lci-WSH181	hci-WSH181	0.03-WSH182	lci-WSH182	hci-WSH182	0.03-WSH183	lci-WSH183	hci-WSH183	0.03-WSH184	lci-WSH184	hci-WSH184	0.03-WSH185	lci-WSH185	hci-WSH185	0.03-WSH186	lci-WSH186	hci-WSH186	0.03-WSH187	lci-WSH187	hci-WSH187	0.03-WSH188	lci-WSH188	hci-WSH188	0.03-WSH189	lci-WSH189	hci-WSH189	0.03-WSH190	lci-WSH190	hci-WSH190	0.03-WSH191	lci-WSH191	hci-WSH191	0.03-WSH192	lci-WSH192	hci-WSH192	0.03-WSH193	lci-WSH193	hci-WSH193	0.03-WSH194	lci-WSH194	hci-WSH194	0.03-WSH195	lci-WSH195	hci-WSH195	0.03-WSH196	lci-WSH196	hci-WSH196	0.03-WSH201	lci-WSH201	hci-WSH201	0.03-WSH202	lci-WSH202	hci-WSH202	0.03-WSH203	lci-WSH203	hci-WSH203	0.03-WSH204	lci-WSH204	hci-WSH204	0.03-WSH205	lci-WSH205	hci-WSH205	0.03-WSH206	lci-WSH206	hci-WSH206	0.03-WSH207	lci-WSH207	hci-WSH207	0.03-WSH208	lci-WSH208	hci-WSH208	0.03-WSH209	lci-WSH209	hci-WSH209	0.03-WSH210	lci-WSH210	hci-WSH210	0.03-WSH211	lci-WSH211	hci-WSH211	0.03-WSH212	lci-WSH212	hci-WSH212	0.03-WSH213	lci-WSH213	hci-WSH213	0.03-WSH214	lci-WSH214	hci-WSH214	0.03-WSH215	lci-WSH215	hci-WSH215	0.03-WSH216	lci-WSH216	hci-WSH216
4400	540.217	524	559	NA	NA	NA	387.378	379	396	413.927	402	426	364.923	362	366	624.29	607	648	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	318.441	304	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.275	95	99	146.871	141	154	111.572	106	120	220.176	211	227	210.513	203	220	229.837	220	243	160.658	156	165	217.799	215	220	339.206	328	356	NA	NA	NA	425.714	421	432
4500	544.273	530	562	NA	NA	NA	389.326	383	398	416.825	404	429	365.951	365	366	629.138	611	652	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	320.762	307	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.447	96	99	147.538	142	154	112.565	107	121	221.261	212	229	211.971	204	222	231.539	221	243	161.318	156	165	218.698	217	220	341.743	330	356	NA	NA	NA	428.979	423	434
4507	544.54	532	563	NA	NA	NA	389.45	383	398	417.069	404	429	366	366	366	629.598	611	653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	320.907	307	335	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.471	96	99	147.586	142	154	112.615	107	121	221.406	212	229	212.022	204	222	231.755	221	243	161.344	157	165	218.797	217	220	341.89	331	356	NA	NA	NA	429.223	424	435
4600	548.007	535	567	NA	NA	NA	391.012	385	399	420.169	409	433	NA	NA	NA	633.389	614	654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	323.46	309	336	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.642	96	99	148.171	142	154	113.412	108	122	222.958	214	230	213.335	206	223	233.312	222	245	161.716	157	165	219.63	218	220	344.081	333	358	NA	NA	NA	432.136	428	437
4658	550.196	537	570	NA	NA	NA	392.207	386	400	422.063	411	435	NA	NA	NA	635.583	617	654	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	324.799	311	337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.882	96	99	148.656	143	155	113.85	108	122	223.693	215	231	214.063	206	224	234.434	222	247	162.179	159	165	220	220	220	345.49	334	359	NA	NA	NA	433.508	430	438
4700	551.942	539	574	NA	NA	NA	393.3	387	400	423.071	411	436	NA	NA	NA	637.534	617	657	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	325.922	311	337	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97.931	97	99	149.138	143	155	114.02	109	122	224.202	217	231	214.695	207	224	234.902	223	247	162.422	159	165	NA	NA	NA	346.365	335	360	NA	NA	NA	434.901	431	438
4800	555.713	543	578	NA	NA	NA	394.964	389	401	425.855	415	437	NA	NA	NA	641.979	623	660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	328.167	313	339	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.198	97	99	149.793	144	155	114.68	110	122	225.35	217	232	215.826	208	224	236.495	225	247	163.033	159	167	NA	NA	NA	349.229	338	364	NA	NA	NA	437.807	437	438
4808	555.861	543	579	NA	NA	NA	395.109	389	401	426.002	415	437	NA	NA	NA	642.485	623	660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	328.482	313	340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.222	97	99	149.82	144	155	114.704	110	122	225.375	217	232	215.946	208	224	236.594	225	247	163.057	159	167	NA	NA	NA	349.427	338	364	NA	NA	NA	438	438	438
4900	559.199	545	581	NA	NA	NA	396.76	390	403	428.222	417	441	NA	NA	NA	646.334	626	668	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	330.601	317	343	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.418	97	99	150.714	145	155	115	110	122	226.665	217	234	217.256	209	225	238.229	227	249	163.475	159	167	NA	NA	NA	351.477	339	364	NA	NA	NA	NA	NA	NA
5000	562.564	548	583	NA	NA	NA	398.349	392	404	430.789	420	446	NA	NA	NA	650.418	630	671	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	332.612	319	345	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.757	98	99	151.321	145	155	115.64	111	122	227.759	219	235	218.519	210	226	239.744	228	250	163.92	161	167	NA	NA	NA	354.008	342	367	NA	NA	NA	NA	NA	NA
5100	565.86	551	586	NA	NA	NA	399.786	394	405	433.581	422	449	NA	NA	NA	654.25	634	676	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	334.858	322	347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	98.902	98	99	152.201	148	156	116.32	112	123	228.878	219	236	219.636	212	228	241.066	229	251	164.409	162	167	NA	NA	NA	356.347	344	369	NA	NA	NA	NA	NA	NA
5161	567.734	553	587	NA	NA	NA	400.857	396	405	434.83	424	451	NA	NA	NA	656.437	636	677	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	336.538	324	347	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	99	99	99	152.569	149	156	116.517	112	123	229.563	220	236	220.585	212	229	241.796	230	252	164.678	162	167	NA	NA	NA	357.735	344	370	NA	NA	NA	NA	NA	NA
5200	568.779	554	587	NA	NA	NA	401.519	397	405	436.124	426	453	NA	NA	NA	658.026	638	680	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	337.269	325	349	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	152.884	149	156	116.711	112	123	230.1	221	236	221.077	212	229	242.357	231	253	164.92	162	167	NA	NA	NA	358.634	345	371	NA	NA	NA	NA	NA	NA
5300	571.756	557	588	NA	NA	NA	403.246	400	407	438.537	427	456	NA	NA	NA	661.9	640	685	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	339.176	326	350	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	153.449	149	157	117.442	112	125	231.321	222	238	222.436	213	231	243.795	234	254	165.479	163	167	NA	NA	NA	360.823	348	373	NA	NA	NA	NA	NA	NA
5400	574.921	561	592	NA	NA	NA	404.544	402	407	440.833	431	457	NA	NA	NA	665.689	644	689	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	341.223	328	354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	154.182	150	157	118.08	113	125	232.253	224	239	223.491	213	232	245.163	235	255	165.994	164	168	NA	NA	NA	362.868	351	374	NA	NA	NA	NA	NA	NA
5500	577.651	564	594	NA	NA	NA	406.056	404	407	443.3	432	459	NA	NA	NA	669.595	649	692	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	342.793	330	354	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	154.888	152	158	118.54	113	125	233.222	225	241	224.588	216	233	246.222	237	256	166.456	164	168	NA	NA	NA	364.285	353	376	NA	NA	NA	NA	NA	NA
5550	579.292	568	596	NA	NA	NA	407	407	407	444.611	433	460	NA	NA	NA	671.134	651	694	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	343.791	330	356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	155.207	152	158	118.736	113	125	233.592	225	241	225.226	216	234	246.83	238	257	166.722	165	168	NA	NA	NA	365.161	354	376	NA	NA	NA	NA	NA	NA
5600	580.729	569	598	NA	NA	NA	NA	NA	NA	445.834	434	461	NA	NA	NA	672.84	651	697	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	344.955	330	356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	155.55	152	158	118.907	113	126	233.907	225	241	226.026	216	234	247.637	239	257	166.798	165	168	NA	NA	NA	366.094	356	376	NA	NA	NA	NA	NA	NA
5700	583.657	570	599	NA	NA	NA	NA	NA	NA	448.446	434	464	NA	NA	NA	676.406	655	698	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	346.648	332	357	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	155.944	153	159	119.416	114	126	235.051	226	242	227.22	217	237	248.809	239	258	167.24	166	168	NA	NA	NA	367.89	357	377	NA	NA	NA	NA	NA	NA
5800	586.752	574	600	NA	NA	NA	NA	NA	NA	450.667	435	464	NA	NA	NA	680.19	659	701	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	348.289	336	361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	156.65	154	160	119.779	114	126	235.744	227	243	228.363	218	237	250.075	241	259	167.61	166	168	NA	NA	NA	369.916	360	379	NA	NA	NA	NA	NA	NA
5900	589.547	578	601	NA	NA	NA	NA	NA	NA	452.717	440	465	NA	NA	NA	683.317	664	704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	350.311	340	361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	157.352	154	160	120.241	114	127	236.741	228	244	229.501	219	238	251.583	242	261	167.976	168	168	NA	NA	NA	371.672	361	382	NA	NA	NA	NA	NA	NA
5907	589.674	578	602	NA	NA	NA	NA	NA	NA	452.864	440	466	NA	NA	NA	683.679	664	704	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	350.458	340	361	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	157.402	154	161	120.289	114	127	236.885	228	244	229.598	219	238	251.655	242	261	168	168	168	NA	NA	NA	371.723	361	382	NA	NA	NA	NA	NA	NA
6000	592.344	583	604	NA	NA	NA	NA	NA	NA	454.77	442	469	NA	NA	NA	686.845	666	708	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	351.979	341	363	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	157.798	154	161	120.631	114	128	237.837	228	246	230.71	221	238	253.045	243	262	NA	NA	NA	NA	NA	NA	373.196	364	384	NA	NA	NA	NA	NA	NA
6100	595.055	585	608	NA	NA	NA	NA	NA	NA	456.964	442	470	NA	NA	NA	690.037	667	712	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	353.409	342	365	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	158.501	155	162	121.145	116	128	238.594	230	246	231.592	222	239	254.218	245	263	NA	NA	NA	NA	NA	NA	375.224	366	385	NA	NA	NA	NA	NA	NA
6200	598.054	586	609	NA	NA	NA	NA	NA	NA	458.928	443	471	NA	NA	NA	693.676	669	716	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	355.282	344	366	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159.11	156	162	121.487	117	129	239.4	232	246	232.62	223	240	255.438	245	264	NA	NA	NA	NA	NA	NA	376.928	368	387	NA	NA	NA	NA	NA	NA
6300	600.527	587	612	NA	NA	NA	NA	NA	NA	460.913	445	472	NA	NA	NA	697.06	673	719	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	356.898	346	367	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159.483	157	162	121.923	117	129	240.422	233	247	233.543	223	240	256.561	245	265	NA	NA	NA	NA	NA	NA	378.848	370	388	NA	NA	NA	NA	NA	NA
6400	603.452	592	615	NA	NA	NA	NA	NA	NA	463.137	447	474	NA	NA	NA	700.321	677	723	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	358.581	346	369	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	159.926	158	163	122.337	117	129	241.468	233	248	234.54	226	242	257.738	247	265	NA	NA	NA	NA	NA	NA	380.651	372	391	NA	NA	NA	NA	NA	NA
6500	606.227	596	617	NA	NA	NA	NA	NA	NA	465.114	448	476	NA	NA	NA	703.653	680	727	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	360.348	348	372	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	160.754	159	163	122.729	117	130	242.346	233	248	235.83	227	244	258.697	248	267	NA	NA	NA	NA	NA	NA	382.312	374	392	NA	NA	NA	NA	NA	NA
6600	608.828	599	619	NA	NA	NA	NA	NA	NA	467.044	450	477	NA	NA	NA	707.114	683	729	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	361.792	351	373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161.217	159	163	123	118	130	243.22	235	249	236.732	229	244	259.815	248	268	NA	NA	NA	NA	NA	NA	384.062	375	393	NA	NA	NA	NA	NA	NA
6700	611.513	601	621	NA	NA	NA	NA	NA	NA	468.979	453	480	NA	NA	NA	710.173	687	732	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	363.26	351	375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	161.779	160	163	123.58	119	130	244.216	235	250	237.608	230	244	260.679	250	269	NA	NA	NA	NA	NA	NA	385.55	376	394	NA	NA	NA	NA	NA	NA
6800	613.972	605	623	NA	NA	NA	NA	NA	NA	470.66	455	481	NA	NA	NA	713.464	690	733	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	364.944	355	376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	162.388	161	163	123.873	119	130	244.875	237	250	238.483	231	245	261.607	252	270	NA	NA	NA	NA	NA	NA	387.231	379	395	NA	NA	NA	NA	NA	NA
6900	615.834	607	624	NA	NA	NA	NA	NA	NA	472.371	456	483	NA	NA	NA	716.606	696	735	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	366.361	357	376	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	162.927	162	163	124.168	119	130	245.654	238	251	239.291	232	246	262.566	254	271	NA	NA	NA	NA	NA	NA	388.553	380	398	NA	NA	NA	NA	NA	NA
6931	616.422	607	624	NA	NA	NA	NA	NA	NA	472.927	457	484	NA	NA	NA	717.537	697	738	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	367.089	358	377	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	163	163	163	124.312	119	130	245.775	238	251	239.584	233	246	262.931	256	271	NA	NA	NA	NA	NA	NA	389.207	380	398	NA	NA	NA	NA	NA	NA
7000	618.001	608	625	NA	NA	NA	NA	NA	NA	473.996	458	485	NA	NA	NA	719.635	698	740	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	367.871	358	378	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	124.509	119	130	246.289	239	251	240.339	235	246	263.561	256	271	NA	NA	NA	NA	NA	NA	390.54	382	399	NA	NA	NA	NA	NA	NA
7100	620.367	610	630	NA	NA	NA	NA	NA	NA	475.582	459	486	NA	NA	NA	722.676	701	743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	369.21	359	380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	124.945	119	130	247.051	240	252	241.339	235	247	264.445	256	272	NA	NA	NA	NA	NA	NA	392.023	382	401	NA	NA	NA	NA	NA	NA
7200	622.6	613	632	NA	NA	NA	NA	NA	NA	477.6	463	488	NA	NA	NA	725.704	706	746	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	370.813	361	380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.336	120	131	247.612	241	253	242.236	236	248	265.333	257	273	NA	NA	NA	NA	NA	NA	393.271	383	402	NA	NA	NA	NA	NA	NA
7300	624.777	616	633	NA	NA	NA	NA	NA	NA	479.516	465	491	NA	NA	NA	727.981	710	748	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	372.394	363	381	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	125.752	121	132	248.296	242	253	242.945	238	249	266.329	259	274	NA	NA	NA	NA	NA	NA	395.016	384	404	NA	NA	NA	NA	NA	NA
7400	627.015	619	636	NA	NA	NA	NA	NA	NA	481.017	466	493	NA	NA	NA	730.369	710	750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	373.784	364	383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	126.196	121	133	248.98	242	254	243.867	239	250	267.475	260	275	NA	NA	NA	NA	NA	NA	396.116	386	406	NA	NA	NA	NA	NA	NA
