lifestage,sample_id,Module,Mean
Embryo (65 hpf),AH6,ME2,0.11012451089821952
Embryo (65 hpf),AH7,ME2,0.11754695340172612
Embryo (65 hpf),AH8,ME2,0.12284278693416598
Larvae (93 hpf),AH9,ME2,0.15768666677463708
Larvae (93 hpf),AH10,ME4,0.26222013413636036
Larvae (93 hpf),AH11,ME4,0.2438680696161224
Egg (1 hpf),AH12,ME4,-0.14399229837950003
Larvae (93 hpf),AH13,ME4,0.25398123513427634
Larvae (163 hpf),AH14,ME4,0.2941943817830097
Larvae (163 hpf),AH15,ME4,0.321031696124454
Larvae (163 hpf),AH16,ME4,0.32121192776981367
Larvae (163 hpf),AH17,ME4,0.34402458231257094
Larvae (231 hpf),AH18,ME4,-0.06887367823949031
Egg (1 hpf),AH19,ME4,-0.14734377121987216
Egg (1 hpf),AH1,ME4,-0.1443680947689936
Larvae (231 hpf),AH20,ME4,-0.06426211665405371
Larvae (231 hpf),AH21,ME4,-0.07066835479238597
Larvae (231 hpf),AH22,ME4,-0.07142861066166771
Metamorphosed Polyp (231 hpf),AH24,ME4,-0.064272843646846
Metamorphosed Polyp (231 hpf),AH25,ME4,-0.06861895105893247
Egg (1 hpf),AH26,ME4,-0.14394045070708134
Metamorphosed Polyp (231 hpf),AH27,ME4,-0.06461200971529409
Embryo (5 hpf),AH28,ME4,-0.14377713719844298
Embryo (5 hpf),AH29,ME4,-0.14449810012385922
Embryo (38 hpf),AH2,ME4,-0.12588295247221815
Embryo (5 hpf),AH30,ME4,-0.14388772791091967
Embryo (5 hpf),AH31,ME4,-0.14697850044225794
Embryo (38 hpf),AH32,ME4,-0.12693288861736143
Attached Recruit (183 hpf),AH33,ME4,-0.06000782130359354
Attached Recruit (231 hpf),AH34,ME4,-0.07866000694387902
Attached Recruit (231 hpf),AH35,ME4,-0.09134086508458247
Attached Recruit (183 hpf),AH36,ME4,-0.06849199754694896
Attached Recruit (183 hpf),AH37,ME4,-0.06537801240627482
Attached Recruit (231 hpf),AH38,ME4,-0.07743102915198637
