gene_id,MM.2
g52048,-0.922832624660517
g68777,-0.740963834949826
g13102,-0.842378243325062
g69630,-0.843111314302855
g3409,-0.707520595434513
g24976,-0.748881549207825
g16338,-0.91105742020374
g68166,-0.916670942946144
g62791,-0.910020013181965
g62719,-0.901802007907058
g32785,-0.546846587341668
g49847,-0.898324973110444
g71123,-0.906265548053066
adi2mcaRNA16924_R2,-0.484421734660632
g70486,-0.875714818373039
g60738,-0.9145609490105
g71356,-0.922889602726498
g64090,-0.670799763866189
g28905,-0.755037189837174
g39409,-0.943957080427419
g22808,-0.758888437310129
g37399,-0.816809864294921
g63810,-0.874309501935699
g63050,-0.758060622912175
g38026,-0.830250614519632
g38253,-0.93536353112707
g66745,-0.869677455787845
g62835,-0.441052813199788
g45308,-0.61480164186554
g67731,-0.940308962727119
g54778,-0.832511032738417
g54698,-0.909997835828989
g33677,-0.932469140999688
g37742,-0.94711138013954
g34995,-0.920486876557554
g69050,-0.912072304363168
g5463,-0.792659878477015
g6182,-0.806418922377917
g41463,-0.908582442524901
g68178,-0.94602891782218
adi2mcaRNA15683_R0,-0.728091752596844
g43833,-0.801302691594296
g56978,-0.824803057991508
adi2mcaRNA4299_R0,-0.750322808044195
g60214,-0.895192135611918
g27542,-0.914200881252708
g63375,-0.920810891433223
g36767,-0.940877663850275
g57645,-0.90432306027609
adi2mcaRNA2517_R0,-0.899619979574613
g45511,-0.947386126785293
g22428,-0.920051544544404
g4181,-0.900880269781133
g28571,-0.91848142825823
adi2mcaRNA24733_R0,-0.945150059084706
g47418,-0.788004218141572
g55163,-0.736684659294225
g68355,-0.700758644580425
g13222,-0.941519221208635
adi2mcaRNA27477_R0,-0.825440591494671
g31001,-0.95100274523068
g24271,-0.916615834847953
g22623,-0.805160053624961
g44531,-0.813120515243689
g55965,-0.870739670213937
g49269,-0.923322716653226
g38203,-0.949217109673894
g10419,-0.910363014423396
g11236,-0.840148180209622
g39879,-0.619057100055782
g31456,-0.499262711736779
g41221,-0.853388764132986
g54341,-0.869236918819377
g474,-0.931799658042509
g36228,-0.789931671682446
g71424,-0.802965633758069
g60073,-0.921279862365925
g57099,-0.907350825340204
g57634,-0.793447681121093
g28318,-0.85577603215394
g31881,-0.890500043612689
g29875,-0.918500560068586
g71448,-0.75232679072418
g53865,-0.899391240144101
g23832,-0.795302450033403
g46686,-0.941482476699702
g67772,-0.499533480391418
g64765,-0.930581617923992
g8603,-0.913056990044228
g34648,-0.912081925208454
g2955,-0.860321180472273
g12287,-0.923480795156587
adi2mcaRNA12403_R0,-0.764953842180192
g24111,-0.92693339468385
g68200,-0.944513665079726
g40461,-0.912165236250555
g47453,-0.804093693121512
g18687,-0.893858308202838
g43321,-0.808092212115883
g67660,-0.85803071360653
g62597,-0.940349531449094
g42338,-0.86279165257553
g71047,-0.889304170946439
adi2mcaRNA14912_R0,-0.93855460752394
adi2mcaRNA6492_R0,-0.805677444290956
g42831,-0.920835142680123
g54280,-0.785269311719852
g35004,-0.835392360182202
adi2mcaRNA6487_R1,-0.943547187462099
g13257,-0.852120695576573
g55446,-0.910744659888661
g27861,-0.824699380089541
g49928,-0.738792473326952
g31824,-0.957725397860134
g39439,-0.863724563917993
adi2mcaRNA12557_R0,-0.931773371870643
g8899,-0.934452953285946
g70612,-0.945611288064612
g56112,-0.640012924873118
g53133,-0.931229707723788
g68918,-0.900971883498933
g3320,-0.954625475047721
g7167,-0.862367307633712
g2920,-0.85684756904775
g15155,-0.939188227506896
g2144,-0.955318398529727
g56262,-0.844156706344934
g40747,-0.870080409116025
g12314,-0.904547005671978
g53229,-0.933523950954149
g70335,-0.919431617409234
g26515,-0.959266041642099
