lifestage,sample_id,Module,Mean
Embryo (65 hpf),AH6,ME9,-0.09797653407937966
Embryo (65 hpf),AH7,ME9,-0.09222119684370866
Embryo (65 hpf),AH8,ME9,-0.08438858692888115
Larvae (93 hpf),AH9,ME9,-0.06741622984019485
Larvae (93 hpf),AH10,ME5,-0.02680445727723159
Larvae (93 hpf),AH11,ME5,-0.026787104422711594
Egg (1 hpf),AH12,ME5,-0.1742502084644929
Larvae (93 hpf),AH13,ME5,-0.014995476695499464
Larvae (163 hpf),AH14,ME5,0.029129724310433033
Larvae (163 hpf),AH15,ME5,0.04878448501273737
Larvae (163 hpf),AH16,ME5,0.011026984658820575
Larvae (163 hpf),AH17,ME5,-0.004611680956267624
Larvae (231 hpf),AH18,ME5,-0.0030762026202152647
Egg (1 hpf),AH19,ME5,-0.15248479292862308
Egg (1 hpf),AH1,ME5,-0.17737196292549665
Larvae (231 hpf),AH20,ME5,0.0429302833525152
Larvae (231 hpf),AH21,ME5,0.01771267484788048
Larvae (231 hpf),AH22,ME5,0.03293421346670623
Metamorphosed Polyp (231 hpf),AH24,ME5,0.05226244618929026
Metamorphosed Polyp (231 hpf),AH25,ME5,0.00452988671765706
Egg (1 hpf),AH26,ME5,-0.16755810907942637
Metamorphosed Polyp (231 hpf),AH27,ME5,0.02531873561577026
Embryo (5 hpf),AH28,ME5,-0.17372708083897664
Embryo (5 hpf),AH29,ME5,-0.17204369380091405
Embryo (38 hpf),AH2,ME5,-0.1493971680547149
Embryo (5 hpf),AH30,ME5,-0.17271016884185075
Embryo (5 hpf),AH31,ME5,-0.17487231519426266
Embryo (38 hpf),AH32,ME5,-0.15777116831275775
Attached Recruit (183 hpf),AH33,ME5,0.269188091794174
Attached Recruit (231 hpf),AH34,ME5,0.2829948583236557
Attached Recruit (231 hpf),AH35,ME5,0.3316350062391795
Attached Recruit (183 hpf),AH36,ME5,0.28995058633064624
Attached Recruit (183 hpf),AH37,ME5,0.34822464361874855
Attached Recruit (231 hpf),AH38,ME5,0.30332902311862947
Attached Recruit (183 hpf),AH39,ME5,0.28280859340952147
Embryo (38 hpf),AH3,ME5,-0.1470275916470907
Embryo (38 hpf),AH4,ME5,-0.15641977228208268
Embryo (65 hpf),AH5,ME5,-0.07119950222855792
Embryo (65 hpf),AH6,ME5,-0.0777749120861437
Embryo (65 hpf),AH7,ME5,-0.07305132511834539
Embryo (65 hpf),AH8,ME5,-0.0652059068168667
Larvae (93 hpf),AH9,ME5,-0.03361963641382116
Larvae (93 hpf),AH10,ME12,-0.14614717229456628
Larvae (93 hpf),AH11,ME12,-0.1567696657324219
Egg (1 hpf),AH12,ME12,-0.03867427704413763
Larvae (93 hpf),AH13,ME12,-0.15364943306101983
Larvae (163 hpf),AH14,ME12,-0.09486189471731452
Larvae (163 hpf),AH15,ME12,-0.1139307015031592
Larvae (163 hpf),AH16,ME12,-0.12280381609471223
Larvae (163 hpf),AH17,ME12,-0.11728648503336693
Larvae (231 hpf),AH18,ME12,0.05445481741934578
Egg (1 hpf),AH19,ME12,0.035417136136862974
Egg (1 hpf),AH1,ME12,-0.03392421736836286
Larvae (231 hpf),AH20,ME12,0.08874249069928478
Larvae (231 hpf),AH21,ME12,0.07281352923739885
Larvae (231 hpf),AH22,ME12,0.04483413865039402
Metamorphosed Polyp (231 hpf),AH24,ME12,0.09102527219772605
Metamorphosed Polyp (231 hpf),AH25,ME12,0.021076188028701953
Egg (1 hpf),AH26,ME12,-0.02263745498590401
Metamorphosed Polyp (231 hpf),AH27,ME12,0.053459377638133965
Embryo (5 hpf),AH28,ME12,-0.02936738096005704
Embryo (5 hpf),AH29,ME12,0.0071942376187622776
Embryo (38 hpf),AH2,ME12,-0.10358686881771051
Embryo (5 hpf),AH30,ME12,-0.007013686588340642
Embryo (5 hpf),AH31,ME12,-0.030661582963706507
Embryo (38 hpf),AH32,ME12,-0.10133520011738079
Attached Recruit (183 hpf),AH33,ME12,0.28082164737626325
Attached Recruit (231 hpf),AH34,ME12,0.25162461323660107
Attached Recruit (231 hpf),AH35,ME12,0.3117197785691997
Attached Recruit (183 hpf),AH36,ME12,0.27455018301040623
Attached Recruit (183 hpf),AH37,ME12,0.30950035693261607
Attached Recruit (231 hpf),AH38,ME12,0.2887847531329572
Attached Recruit (183 hpf),AH39,ME12,0.30222073543923966
Embryo (38 hpf),AH3,ME12,-0.08836027459338062
Embryo (38 hpf),AH4,ME12,-0.07532381180947667
Embryo (65 hpf),AH5,ME12,-0.22339572253495138
Embryo (65 hpf),AH6,ME12,-0.23405223420742843
Embryo (65 hpf),AH7,ME12,-0.21128229739071075
Embryo (65 hpf),AH8,ME12,-0.21522825314863728
Larvae (93 hpf),AH9,ME12,-0.16794682435714514
Larvae (93 hpf),AH10,ME1,-0.1092207869978692
Larvae (93 hpf),AH11,ME1,-0.10754673817798899
Egg (1 hpf),AH12,ME1,0.2606011244282115
Larvae (93 hpf),AH13,ME1,-0.10283233238637124
Larvae (163 hpf),AH14,ME1,-0.12138859985044075
Larvae (163 hpf),AH15,ME1,-0.10974032583316905
Larvae (163 hpf),AH16,ME1,-0.12146230196770101
Larvae (163 hpf),AH17,ME1,-0.11773082554018342
Larvae (231 hpf),AH18,ME1,-0.13246656685481448
Egg (1 hpf),AH19,ME1,0.2683202652283364
Egg (1 hpf),AH1,ME1,0.25533426580789226
Larvae (231 hpf),AH20,ME1,-0.11753804765735987
Larvae (231 hpf),AH21,ME1,-0.12594295963404958
Larvae (231 hpf),AH22,ME1,-0.13368520643424145
Metamorphosed Polyp (231 hpf),AH24,ME1,-0.12922071172449368
Metamorphosed Polyp (231 hpf),AH25,ME1,-0.13786157490908027
Egg (1 hpf),AH26,ME1,0.25315931552721055
Metamorphosed Polyp (231 hpf),AH27,ME1,-0.12872579117403532
Embryo (5 hpf),AH28,ME1,0.26833331315395725
Embryo (5 hpf),AH29,ME1,0.26395177269149434
Embryo (38 hpf),AH2,ME1,0.1973415078117982
Embryo (5 hpf),AH30,ME1,0.25794633063623107
Embryo (5 hpf),AH31,ME1,0.25853158319612074
Embryo (38 hpf),AH32,ME1,0.17976321059106973
Attached Recruit (183 hpf),AH33,ME1,-0.10351924400516194
Attached Recruit (231 hpf),AH34,ME1,-0.08697587460484431
Attached Recruit (231 hpf),AH35,ME1,-0.09120768574395871
Attached Recruit (183 hpf),AH36,ME1,-0.11421120632037164
Attached Recruit (183 hpf),AH37,ME1,-0.0811717791793438
Attached Recruit (231 hpf),AH38,ME1,-0.098273940813721275
Attached Recruit (183 hpf),AH39,ME1,-0.09832929912743049
Embryo (38 hpf),AH3,ME1,0.18917705565182852
Embryo (38 hpf),AH4,ME1,0.18050263102847908
Embryo (65 hpf),AH5,ME1,-0.08647242799705021
Embryo (65 hpf),AH6,ME1,-0.08769770960501545
Embryo (65 hpf),AH7,ME1,-0.08717366915106638
Embryo (65 hpf),AH8,ME1,-0.08620383915430847
Larvae (93 hpf),AH9,ME1,-0.116362930908557
Larvae (93 hpf),AH10,ME7,-0.04106968836482573
Larvae (93 hpf),AH11,ME7,-0.04034418837337994
Egg (1 hpf),AH12,ME7,-0.08056873493851935
Larvae (93 hpf),AH13,ME7,-0.03320313155500832
Larvae (163 hpf),AH14,ME7,-0.0694692032953933
Larvae (163 hpf),AH15,ME7,-0.042623566964617804
Larvae (163 hpf),AH16,ME7,-0.058619558605043684
Larvae (163 hpf),AH17,ME7,-0.05778734372698717
Larvae (231 hpf),AH18,ME7,-0.07085948513200337
Egg (1 hpf),AH19,ME7,-0.09744577773720771
Egg (1 hpf),AH1,ME7,-0.07747222986017716
Larvae (231 hpf),AH20,ME7,-0.06918522731637809
Larvae (231 hpf),AH21,ME7,-0.08271366527816748
Larvae (231 hpf),AH22,ME7,-0.08244508741512548
Metamorphosed Polyp (231 hpf),AH24,ME7,-0.07094995551087797
Metamorphosed Polyp (231 hpf),AH25,ME7,-0.07876223961425996
Egg (1 hpf),AH26,ME7,-0.090089092149094
Metamorphosed Polyp (231 hpf),AH27,ME7,-0.0739369071195371
Embryo (5 hpf),AH28,ME7,-0.04504884220788224
Embryo (5 hpf),AH29,ME7,-0.04766626368484993
Embryo (38 hpf),AH2,ME7,0.45952751905585165
Embryo (5 hpf),AH30,ME7,-0.050939917239527115
Embryo (5 hpf),AH31,ME7,-0.05181782796850498
Embryo (38 hpf),AH32,ME7,0.47600392627131843
Attached Recruit (183 hpf),AH33,ME7,-0.06473183589605294
Attached Recruit (231 hpf),AH34,ME7,-0.06794025884779127
Attached Recruit (231 hpf),AH35,ME7,-0.06014359880820353
Attached Recruit (183 hpf),AH36,ME7,-0.07156840729518936
Attached Recruit (183 hpf),AH37,ME7,-0.05569315888427156
Attached Recruit (231 hpf),AH38,ME7,-0.0665032600390436
Attached Recruit (183 hpf),AH39,ME7,-0.06470293373375455
Embryo (38 hpf),AH3,ME7,0.46950359519757356
Embryo (38 hpf),AH4,ME7,0.4611422489566046
Embryo (65 hpf),AH5,ME7,0.008341867578947452
Embryo (65 hpf),AH6,ME7,0.014033929149057727
Embryo (65 hpf),AH7,ME7,0.0020431314422849293
Embryo (65 hpf),AH8,ME7,0.015349675623258256
Larvae (93 hpf),AH9,ME7,-0.0416445057132229
Larvae (93 hpf),AH10,ME8,0.09807615841211292
Larvae (93 hpf),AH11,ME8,0.07659030605425032
Egg (1 hpf),AH12,ME8,-0.21849789763888255
Larvae (93 hpf),AH13,ME8,0.08734409678175281
Larvae (163 hpf),AH14,ME8,-0.006482953639598942
Larvae (163 hpf),AH15,ME8,-7.168815413879648e-4
Larvae (163 hpf),AH16,ME8,-0.012546472689364931
Larvae (163 hpf),AH17,ME8,0.018793248596765677
Larvae (231 hpf),AH18,ME8,-0.006176663003309859
Egg (1 hpf),AH19,ME8,-0.23413818498521685
Egg (1 hpf),AH1,ME8,-0.2167658561617945
Larvae (231 hpf),AH20,ME8,-2.08144423254642e-4
Larvae (231 hpf),AH21,ME8,-0.03155623202717371
Larvae (231 hpf),AH22,ME8,-0.017319908500787594
Metamorphosed Polyp (231 hpf),AH24,ME8,-0.02234169081780445
Metamorphosed Polyp (231 hpf),AH25,ME8,-0.009580681910540614
Egg (1 hpf),AH26,ME8,-0.21669180359987353
Metamorphosed Polyp (231 hpf),AH27,ME8,-0.020395892012319818
Embryo (5 hpf),AH28,ME8,-0.2123345678146503
Embryo (5 hpf),AH29,ME8,-0.21908922349993068
Embryo (38 hpf),AH2,ME8,0.3091874107330562
Embryo (5 hpf),AH30,ME8,-0.21382091443548795
Embryo (5 hpf),AH31,ME8,-0.2056025799678108
Embryo (38 hpf),AH32,ME8,0.33610963370198965
Attached Recruit (183 hpf),AH33,ME8,-0.08064481971224859
Attached Recruit (231 hpf),AH34,ME8,-0.05720234622170941
Attached Recruit (231 hpf),AH35,ME8,-0.08339022851659225
Attached Recruit (183 hpf),AH36,ME8,-0.06960721365457267
Attached Recruit (183 hpf),AH37,ME8,-0.082029827086475
Attached Recruit (231 hpf),AH38,ME8,-0.08338741005115267
Attached Recruit (183 hpf),AH39,ME8,-0.07975208239498442
Embryo (38 hpf),AH3,ME8,0.29632834732045493
Embryo (38 hpf),AH4,ME8,0.31738698112509744
Embryo (65 hpf),AH5,ME8,0.19280334734775198
Embryo (65 hpf),AH6,ME8,0.19799518035834365
Embryo (65 hpf),AH7,ME8,0.17971894901714505
Embryo (65 hpf),AH8,ME8,0.2040137987981283
Larvae (93 hpf),AH9,ME8,0.08593301806007277
