"","Genus","Species"
"Otu0449",NA,NA
"Otu0450",NA,NA
"Otu0451",NA,NA
"Otu0452",NA,NA
"Otu0453",NA,NA
"Otu0454",NA,NA
"Otu0455",NA,NA
"Otu0456",NA,NA
"Otu0459",NA,NA
"Otu0460",NA,NA
"Otu0462",NA,NA
"Otu0464",NA,NA
"Otu0466",NA,NA
"Otu0469",NA,NA
"Otu0470",NA,NA
"Otu0472",NA,NA
"Otu0474",NA,NA
"Otu0475",NA,NA
"Otu0476",NA,NA
"Otu0477",NA,NA
"Otu0479",NA,NA
"Otu0480",NA,NA
"Otu0482",NA,NA
"Otu0483",NA,NA
"Otu0485",NA,NA
"Otu0486",NA,NA
"Otu0487",NA,NA
"Otu0488",NA,NA
"Otu0489",NA,NA
"Otu0492",NA,NA
"Otu0493",NA,NA
"Otu0494",NA,NA
"Otu0497",NA,NA
"Otu0499",NA,NA
"Otu0500",NA,NA
"Otu0501",NA,NA
"Otu0502",NA,NA
"Otu0503",NA,NA
"Otu0504",NA,NA
"Otu0506",NA,NA
"Otu0507",NA,NA
"Otu0508",NA,NA
"Otu0510",NA,NA
"Otu0512",NA,NA
"Otu0515",NA,NA
"Otu0517",NA,NA
"Otu0519",NA,NA
"Otu0520",NA,NA
"Otu0522",NA,NA
"Otu0523",NA,NA
"Otu0524",NA,NA
"Otu0525",NA,NA
"Otu0527",NA,NA
"Otu0528",NA,NA
"Otu0529",NA,NA
"Otu0530",NA,NA
"Otu0531",NA,NA
"Otu0532",NA,NA
"Otu0536",NA,NA
"Otu0538",NA,NA
"Otu0540",NA,NA
"Otu0541",NA,NA
"Otu0543",NA,NA
"Otu0545",NA,NA
"Otu0546",NA,NA
"Otu0547",NA,NA
"Otu0548",NA,NA
"Otu0549",NA,NA
"Otu0551",NA,NA
"Otu0552",NA,NA
"Otu0555",NA,NA
"Otu0556",NA,NA
"Otu0558",NA,NA
"Otu0559",NA,NA
"Otu0560",NA,NA
"Otu0562",NA,NA
"Otu0567",NA,NA
"Otu0568",NA,NA
"Otu0569",NA,NA
"Otu0573",NA,NA
"Otu0574",NA,NA
"Otu0575",NA,NA
"Otu0577",NA,NA
"Otu0578",NA,NA
"Otu0579",NA,NA
"Otu0580",NA,NA
"Otu0582",NA,NA
"Otu0584",NA,NA
"Otu0585",NA,NA
"Otu0586",NA,NA
"Otu0587",NA,NA
"Otu0588",NA,NA
"Otu0589",NA,NA
"Otu0590",NA,NA
"Otu0591",NA,NA
"Otu0592",NA,NA
"Otu0595",NA,NA
"Otu0596",NA,NA
"Otu0597",NA,NA
"Otu0598",NA,NA
"Otu0600",NA,NA
"Otu0601",NA,NA
"Otu0606",NA,NA
"Otu0610",NA,NA
"Otu0615",NA,NA
"Otu0617",NA,NA
"Otu0618",NA,NA
"Otu0619",NA,NA
"Otu0620",NA,NA
"Otu0621",NA,NA
"Otu0622",NA,NA
"Otu0623",NA,NA
"Otu0624",NA,NA
"Otu0625",NA,NA
"Otu0627",NA,NA
"Otu0628",NA,NA
"Otu0630",NA,NA
"Otu0631",NA,NA
"Otu0633","Muricauda","aquimarina"
"Otu0636",NA,NA
"Otu0638",NA,NA
"Otu0639",NA,NA
"Otu0641",NA,NA
"Otu0642",NA,NA
"Otu0644",NA,NA
"Otu0645",NA,NA
"Otu0648",NA,NA
"Otu0649",NA,NA
"Otu0650",NA,NA
"Otu0656",NA,NA
"Otu0657",NA,NA
"Otu0660",NA,NA
"Otu0661",NA,NA
"Otu0662",NA,NA
"Otu0663",NA,NA
"Otu0664",NA,NA
"Otu0665",NA,NA
"Otu0666",NA,NA
"Otu0667",NA,NA
"Otu0668",NA,NA
"Otu0669",NA,NA
"Otu0670",NA,NA
"Otu0671",NA,NA
"Otu0672",NA,NA
"Otu0673",NA,NA
"Otu0674",NA,NA
"Otu0675",NA,NA
"Otu0678",NA,NA
"Otu0680",NA,NA
"Otu0681",NA,NA
"Otu0683",NA,NA
"Otu0684",NA,NA
"Otu0685",NA,NA
"Otu0688",NA,NA
"Otu0689",NA,NA
"Otu0691",NA,NA
"Otu0692",NA,NA
"Otu0694",NA,NA
"Otu0696",NA,NA
"Otu0698",NA,NA
"Otu0699",NA,NA
"Otu0700",NA,NA
"Otu0703",NA,NA
"Otu0704",NA,NA
"Otu0705",NA,NA
"Otu0706",NA,NA
"Otu0708",NA,NA
"Otu0709",NA,NA
"Otu0712",NA,NA
"Otu0713",NA,NA
"Otu0715",NA,NA
"Otu0716",NA,NA
"Otu0718",NA,NA
"Otu0724",NA,NA
"Otu0725",NA,NA
"Otu0726",NA,NA
"Otu0732",NA,NA
"Otu0733",NA,NA
"Otu0735",NA,NA
"Otu0738",NA,NA
"Otu0740",NA,NA
"Otu0741",NA,NA
"Otu0742",NA,NA
"Otu0743",NA,NA
"Otu0744",NA,NA
"Otu0745",NA,NA
"Otu0746",NA,NA
"Otu0748",NA,NA
"Otu0749",NA,NA
"Otu0750",NA,NA
"Otu0752",NA,NA
"Otu0754",NA,NA
"Otu0756",NA,NA
"Otu0757",NA,NA
"Otu0758",NA,NA
"Otu0760",NA,NA
"Otu0762",NA,NA
"Otu0763",NA,NA
"Otu0766",NA,NA
"Otu0767",NA,NA
"Otu0768",NA,NA
"Otu0769",NA,NA
"Otu0775",NA,NA
"Otu0776",NA,NA
"Otu0778",NA,NA
"Otu0779",NA,NA
"Otu0780",NA,NA
"Otu0781",NA,NA
"Otu0782",NA,NA
"Otu0784",NA,NA
"Otu0785",NA,NA
"Otu0787",NA,NA
"Otu0790",NA,NA
"Otu0791",NA,NA
"Otu0792",NA,NA
"Otu0794",NA,NA
"Otu0795",NA,NA
"Otu0796",NA,NA
"Otu0797",NA,NA
"Otu0798",NA,NA
"Otu0799",NA,NA
"Otu0800",NA,NA
"Otu0801",NA,NA
"Otu0802",NA,NA
"Otu0803",NA,NA
"Otu0805",NA,NA
"Otu0806",NA,NA
"Otu0807",NA,NA
"Otu0809",NA,NA
"Otu0811",NA,NA
"Otu0812",NA,NA
"Otu0815",NA,NA
"Otu0816",NA,NA
"Otu0818",NA,NA
"Otu0819",NA,NA
"Otu0820",NA,NA
"Otu0821",NA,NA
"Otu0822",NA,NA
"Otu0824",NA,NA
"Otu0826",NA,NA
"Otu0827",NA,NA
"Otu0828",NA,NA
"Otu0829",NA,NA
"Otu0832",NA,NA
"Otu0833",NA,NA
"Otu0835",NA,NA
"Otu0836",NA,NA
"Otu0838",NA,NA
"Otu0839",NA,NA
"Otu0841",NA,NA
"Otu0842",NA,NA
"Otu0843",NA,NA
"Otu0844",NA,NA
"Otu0846",NA,NA
"Otu0847",NA,NA
"Otu0849",NA,NA
"Otu0851",NA,NA
"Otu0854",NA,NA
"Otu0855",NA,NA
"Otu0856",NA,NA
"Otu0857",NA,NA
"Otu0860",NA,NA
"Otu0863",NA,NA
"Otu0865",NA,NA
"Otu0866",NA,NA
"Otu0867",NA,NA
"Otu0870",NA,NA
"Otu0871",NA,NA
"Otu0873",NA,NA
"Otu0875",NA,NA
"Otu0876",NA,NA
"Otu0878",NA,NA
"Otu0879",NA,NA
"Otu0880",NA,NA
"Otu0881",NA,NA
"Otu0882",NA,NA
"Otu0883",NA,NA
"Otu0884",NA,NA
"Otu0885",NA,NA
"Otu0886",NA,NA
"Otu0889",NA,NA
"Otu0891",NA,NA
"Otu0892",NA,NA
"Otu0895",NA,NA
"Otu0897",NA,NA
"Otu0898",NA,NA
"Otu0900",NA,NA
"Otu0905",NA,NA
"Otu0907",NA,NA
"Otu0909",NA,NA
"Otu0910",NA,NA
"Otu0911",NA,NA
"Otu0913",NA,NA
"Otu0914",NA,NA
"Otu0915",NA,NA
"Otu0916",NA,NA
"Otu0917",NA,NA
"Otu0918",NA,NA
"Otu0921",NA,NA
"Otu0923",NA,NA
"Otu0927",NA,NA
"Otu0929",NA,NA
"Otu0930",NA,NA
"Otu0932",NA,NA
"Otu0933",NA,NA
"Otu0934",NA,NA
"Otu0935",NA,NA
"Otu0937",NA,NA
"Otu0938",NA,NA
"Otu0940",NA,NA
"Otu0941",NA,NA
"Otu0942",NA,NA
"Otu0943",NA,NA
"Otu0944",NA,NA
"Otu0946",NA,NA
"Otu0947",NA,NA
"Otu0948",NA,NA
"Otu0949",NA,NA
"Otu0950",NA,NA
"Otu0952",NA,NA
"Otu0953",NA,NA
"Otu0954",NA,NA
"Otu0956",NA,NA
"Otu0957",NA,NA
"Otu0959",NA,NA
"Otu0963",NA,NA
"Otu0964",NA,NA
"Otu0965",NA,NA
"Otu0969",NA,NA
"Otu0970",NA,NA
"Otu0972",NA,NA
"Otu0973",NA,NA
"Otu0975",NA,NA
"Otu0978",NA,NA
"Otu0979",NA,NA
"Otu0980",NA,NA
"Otu0982",NA,NA
"Otu0983",NA,NA
"Otu0984",NA,NA
"Otu0985",NA,NA
"Otu0986",NA,NA
"Otu0987",NA,NA
"Otu0988",NA,NA
"Otu0989",NA,NA
"Otu0990",NA,NA
"Otu0991",NA,NA
"Otu0993",NA,NA
"Otu0994",NA,NA
"Otu0995",NA,NA
"Otu0996",NA,NA
"Otu0998",NA,NA
"Otu1001",NA,NA
"Otu1002",NA,NA
"Otu1003",NA,NA
"Otu1007",NA,NA
"Otu1008",NA,NA
"Otu1010",NA,NA
"Otu1015",NA,NA
"Otu1016",NA,NA
"Otu1017",NA,NA
"Otu1018",NA,NA
"Otu1019",NA,NA
"Otu1021",NA,NA
"Otu1022",NA,NA
"Otu1024",NA,NA
"Otu1025",NA,NA
"Otu1026",NA,NA
"Otu1027",NA,NA
"Otu1028",NA,NA
"Otu1029",NA,NA
"Otu1031",NA,NA
"Otu1034",NA,NA
"Otu1035",NA,NA
"Otu1037",NA,NA
"Otu1039",NA,NA
"Otu1040",NA,NA
"Otu1043",NA,NA
"Otu1046",NA,NA
"Otu1047",NA,NA
"Otu1049",NA,NA
"Otu1050",NA,NA
"Otu1051",NA,NA
"Otu1052",NA,NA
"Otu1053",NA,NA
"Otu1056",NA,NA
"Otu1057",NA,NA
"Otu1061",NA,NA
"Otu1062",NA,NA
"Otu1065",NA,NA
"Otu1067",NA,NA
"Otu1068",NA,NA
"Otu1071",NA,NA
"Otu1073",NA,NA
"Otu1074",NA,NA
"Otu1076",NA,NA
"Otu1077",NA,NA
"Otu1079",NA,NA
"Otu1080",NA,NA
"Otu1081",NA,NA
"Otu1082",NA,NA
"Otu1084",NA,NA
"Otu1085",NA,NA
"Otu1088",NA,NA
"Otu1089",NA,NA
"Otu1090",NA,NA
"Otu1091",NA,NA
"Otu1092",NA,NA
"Otu1097",NA,NA
"Otu1098",NA,NA
"Otu1100",NA,NA
"Otu1101",NA,NA
"Otu1106",NA,NA
"Otu1107",NA,NA
"Otu1109",NA,NA
"Otu1110",NA,NA
"Otu1111",NA,NA
"Otu1112",NA,NA
"Otu1114",NA,NA
"Otu1115",NA,NA
"Otu1117",NA,NA
"Otu1119",NA,NA
"Otu1121",NA,NA
"Otu1124",NA,NA
"Otu1127",NA,NA
"Otu1129",NA,NA
"Otu1130",NA,NA
"Otu1131",NA,NA
"Otu1132",NA,NA
"Otu1133",NA,NA
"Otu1134",NA,NA
"Otu1137",NA,NA
"Otu1138",NA,NA
"Otu1139",NA,NA
"Otu1140",NA,NA
"Otu1141",NA,NA
"Otu1144",NA,NA
"Otu1149",NA,NA
"Otu1150",NA,NA
"Otu1153",NA,NA
"Otu1154",NA,NA
"Otu1155",NA,NA
"Otu1156",NA,NA
"Otu1159",NA,NA
"Otu1160",NA,NA
"Otu1161",NA,NA
"Otu1162",NA,NA
"Otu1164",NA,NA
"Otu1165",NA,NA
"Otu1167",NA,NA
"Otu1172",NA,NA
"Otu1173",NA,NA
"Otu1175",NA,NA
"Otu1176",NA,NA
"Otu1177",NA,NA
"Otu1179",NA,NA
"Otu1180",NA,NA
"Otu1183",NA,NA
"Otu1184",NA,NA
"Otu1187",NA,NA
"Otu1188",NA,NA
"Otu1189",NA,NA
"Otu1190",NA,NA
"Otu1192",NA,NA
"Otu1194",NA,NA
"Otu1196",NA,NA
"Otu1197",NA,NA
"Otu1198",NA,NA
"Otu1200",NA,NA
"Otu1203",NA,NA
"Otu1204",NA,NA
"Otu1211",NA,NA
"Otu1212",NA,NA
"Otu1215",NA,NA
"Otu1216",NA,NA
"Otu1218",NA,NA
"Otu1220",NA,NA
"Otu1221",NA,NA
"Otu1223",NA,NA
"Otu1224",NA,NA
"Otu1225",NA,NA
"Otu1226",NA,NA
"Otu1227",NA,NA
"Otu1228",NA,NA
"Otu1229",NA,NA
"Otu1232",NA,NA
"Otu1234",NA,NA
"Otu1235",NA,NA
"Otu1236",NA,NA
"Otu1237",NA,NA
"Otu1238",NA,NA
"Otu1240",NA,NA
"Otu1242",NA,NA
"Otu1244",NA,NA
"Otu1245",NA,NA
"Otu1246",NA,NA
"Otu1247",NA,NA
"Otu1252",NA,NA
"Otu1253",NA,NA
"Otu1255",NA,NA
"Otu1256",NA,NA
"Otu1258",NA,NA
"Otu1265",NA,NA
"Otu1266",NA,NA
"Otu1268",NA,NA
"Otu1269",NA,NA
"Otu1270",NA,NA
"Otu1275",NA,NA
"Otu1277",NA,NA
"Otu1278",NA,NA
"Otu1279",NA,NA
"Otu1280",NA,NA
"Otu1285",NA,NA
"Otu1288",NA,NA
"Otu1289",NA,NA
"Otu1295",NA,NA
"Otu1297",NA,NA
"Otu1298",NA,NA
"Otu1300",NA,NA
"Otu1302",NA,NA
"Otu1304",NA,NA
"Otu1306",NA,NA
"Otu1307",NA,NA
"Otu1309",NA,NA
"Otu1313",NA,NA
"Otu1314",NA,NA
"Otu1318",NA,NA
"Otu1319",NA,NA
"Otu1321",NA,NA
"Otu1331",NA,NA
"Otu1332",NA,NA
"Otu1333",NA,NA
"Otu1338",NA,NA
"Otu1341",NA,NA
"Otu1348",NA,NA
"Otu1349",NA,NA
"Otu1350",NA,NA
"Otu1351",NA,NA
"Otu1352",NA,NA
"Otu1353",NA,NA
"Otu1355",NA,NA
"Otu1358",NA,NA
"Otu1359",NA,NA
"Otu1360",NA,NA
"Otu1361",NA,NA
"Otu1362",NA,NA
"Otu1370",NA,NA
"Otu1372",NA,NA
"Otu1373",NA,NA
"Otu1377",NA,NA
"Otu1379",NA,NA
"Otu1381",NA,NA
"Otu1384",NA,NA
"Otu1385",NA,NA
"Otu1386",NA,NA
"Otu1392",NA,NA
"Otu1393",NA,NA
"Otu1394",NA,NA
"Otu1395",NA,NA
"Otu1402",NA,NA
"Otu1403",NA,NA
"Otu1407",NA,NA
"Otu1410",NA,NA
"Otu1411",NA,NA
"Otu1412",NA,NA
"Otu1416",NA,NA
"Otu1424",NA,NA
"Otu1428",NA,NA
"Otu1435",NA,NA
"Otu1436",NA,NA
"Otu1438",NA,NA
"Otu1442",NA,NA
"Otu1447",NA,NA
"Otu1448",NA,NA
"Otu1449",NA,NA
"Otu1456",NA,NA
"Otu1465",NA,NA
"Otu1468",NA,NA
"Otu1471",NA,NA
"Otu1472",NA,NA
"Otu1473",NA,NA
"Otu1474",NA,NA
"Otu1475",NA,NA
"Otu1477",NA,NA
"Otu1478",NA,NA
"Otu1481",NA,NA
"Otu1482",NA,NA
"Otu1484",NA,NA
"Otu1485",NA,NA
"Otu1488",NA,NA
"Otu1493",NA,NA
"Otu1496",NA,NA
"Otu1499",NA,NA
"Otu1502",NA,NA
"Otu1503",NA,NA
"Otu1505",NA,NA
"Otu1506",NA,NA
"Otu1507",NA,NA
"Otu1508",NA,NA
"Otu1512",NA,NA
"Otu1513",NA,NA
"Otu1516",NA,NA
"Otu1518",NA,NA
"Otu1519",NA,NA
"Otu1520",NA,NA
"Otu1522",NA,NA
"Otu1523",NA,NA
"Otu1532",NA,NA
"Otu1533",NA,NA
"Otu1535",NA,NA
"Otu1536",NA,NA
"Otu1539",NA,NA
"Otu1541",NA,NA
"Otu1544",NA,NA
"Otu1545",NA,NA
"Otu1551",NA,NA
"Otu1555","Peptoniphilus","asaccharolyticus/grossensis/harei"
"Otu1556",NA,NA
"Otu1559",NA,NA
"Otu1560",NA,NA
"Otu1561",NA,NA
"Otu1562",NA,NA
"Otu1563",NA,NA
"Otu1568",NA,NA
"Otu1573",NA,NA
"Otu1581",NA,NA
"Otu1583",NA,NA
"Otu1591",NA,NA
"Otu1592",NA,NA
"Otu1593",NA,NA
"Otu1594",NA,NA
"Otu1596",NA,NA
"Otu1604",NA,NA
"Otu1610",NA,NA
"Otu1613",NA,NA
"Otu1623",NA,NA
"Otu1628",NA,NA
"Otu1635",NA,NA
"Otu1638",NA,NA
"Otu1648",NA,NA
"Otu1649",NA,NA
