Lifestage,Rep,HPF,Development,compound,norm_counts,log_norm_counts
Larvae5,rep1,183 larvae,Larvae,5-Methylcytosine,0.9917604685808463,0.2992371084709408
Larvae5,rep2,183 larvae,Larvae,5-Methylcytosine,1.7410008899608693,0.43790917654826594
Larvae5,rep3,183 larvae,Larvae,5-Methylcytosine,1.4846989481086084,0.3952737761294827
Larvae5,rep4,183 larvae,Larvae,5-Methylcytosine,1.2029828229879784,0.3430111108999191
Larvae6,rep3,231 larvae,Larvae,5-Methylcytosine,1.2110846635217392,0.3446053722468963
Larvae6,rep4,231 larvae,Larvae,5-Methylcytosine,2.0958886846941445,0.49078533686479814
Recruit1,rep1,183 recruit,Metamorphosed Recruit,5-Methylcytosine,1.7558980590324305,0.4402631489327923
Recruit1,rep2,183 recruit,Metamorphosed Recruit,5-Methylcytosine,0.3653952382588721,0.13525838394007478
Recruit1,rep3,183 recruit,Metamorphosed Recruit,5-Methylcytosine,2.0140190154676287,0.47914598795426366
Recruit1,rep4,183 recruit,Metamorphosed Recruit,5-Methylcytosine,1.5072969502367706,0.3992057724153561
Recruit1plug,rep1,183 recruit plug,Calcifying Recruit,5-Methylcytosine,2.482468827151746,0.5418872375851398
Recruit1plug,rep2,183 recruit plug,Calcifying Recruit,5-Methylcytosine,1.529442377837906,0.403024790377489
Recruit1plug,rep3,183 recruit plug,Calcifying Recruit,5-Methylcytosine,1.6318839766213158,0.42026674002407155
Recruit1plug,rep4,183 recruit plug,Calcifying Recruit,5-Methylcytosine,1.7985971050942113,0.4469403805566423
Recruit2,rep1,231 recruit,Metamorphosed Recruit,5-Methylcytosine,0.5973062433616886,0.20338818918269075
Recruit2,rep2,231 recruit,Metamorphosed Recruit,5-Methylcytosine,2.1750166693490938,0.5017460097499864
Recruit2,rep3,231 recruit,Metamorphosed Recruit,5-Methylcytosine,1.5626608113412945,0.40869112763916005
Recruit2,rep4,231 recruit,Metamorphosed Recruit,5-Methylcytosine,0.9589115455475881,0.29201482591414
Recruit2plug,rep1,231 recruit plug,Calcifying Recruit,5-Methylcytosine,1.6096409266043763,0.41658075472435346
Recruit2plug,rep2,231 recruit plug,Calcifying Recruit,5-Methylcytosine,1.5812060461394088,0.4118226737146111
Recruit2plug,rep3,231 recruit plug,Calcifying Recruit,5-Methylcytosine,0.376794828311609,0.1388692259714876
Recruit2plug,rep4,231 recruit plug,Calcifying Recruit,5-Methylcytosine,0.8617242853934451,0.26991536397164095
Recruit2plug,rep5,231 recruit plug,Calcifying Recruit,5-Methylcytosine,0.6622197217949282,0.22068843079344008
Recruit3plug,rep1,255 recruit plug,Calcifying Recruit,5-Methylcytosine,1.6548093928174918,0.4240333455232634
Recruit3plug,rep2,255 recruit plug,Calcifying Recruit,5-Methylcytosine,1.7296659811920796,0.4361095073337437
Recruit3plug,rep3,255 recruit plug,Calcifying Recruit,5-Methylcytosine,1.498086972658906,0.3976075545698648
Recruit3plug,rep4,255 recruit plug,Calcifying Recruit,5-Methylcytosine,0.35663010137003437,0.1324614491095651
Egg,rep1,1,Egg,Acetyl glycine,0.9962763005334417,0.30022065092552597
Egg,rep2,1,Egg,Acetyl glycine,1.09578374990179,0.32134646864112854
Egg,rep3,1,Egg,Acetyl glycine,1.013302099992295,0.3039089465308336
Egg,rep4,1,Egg,Acetyl glycine,1.2679084825918459,0.35562552539402675
Embryo,rep1,5,Embryo,Acetyl glycine,1.9311069172774946,0.4670316603820563
Embryo,rep2,5,Embryo,Acetyl glycine,1.988441530642534,0.4754447632087787
Embryo,rep3,5,Embryo,Acetyl glycine,2.470650564582056,0.5404108898127963
Embryo,rep4,5,Embryo,Acetyl glycine,2.5441323152904376,0.5495099273030011
Larvae1,rep1,38,Embryo,Acetyl glycine,2.3050446071220807,0.5191773253938949
Larvae1,rep2,38,Embryo,Acetyl glycine,2.8659137557149874,0.5872521611682537
Larvae1,rep3,38,Embryo,Acetyl glycine,1.752330653875067,0.4397006070806194
Larvae1,rep4,38,Embryo,Acetyl glycine,4.955068440866206,0.7748867571403286
Larvae2,rep3,65,Embryo,Acetyl glycine,2.5231198394731416,0.5469274160273168
Larvae2,rep4,65,Embryo,Acetyl glycine,3.3216592778809417,0.635650523868559
Larvae3,rep1,93,Larvae,Acetyl glycine,9.33717668387113,1.014401939333853
Larvae3,rep2,93,Larvae,Acetyl glycine,4.7416030318899605,0.7590331625562806
