Measurement Name :,0723_Run4_Juvs,,Generated On :,"23/07/2020, 21:29:29",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
23.07.20 21:25:57,24.85,245.58,214.21,261.67,212.67,212.98,203.77,211.43,259.35,262,211.13,239.13,212.36,211.13,216.07,210.2,262,268.69,212.36,222.62,206.52,212.36,214.21,211.43,205.3,,27.5,965,34,27.57,
23.07.20 21:26:12,25.1,244.93,213.6,261.34,212.67,212.36,202.86,211.13,258.36,261.34,211.13,238.16,212.36,210.82,215.76,209.9,260.68,268.02,212.05,221.37,205.91,212.67,213.29,210.82,204.69,,27.5,965,34,27.57,
23.07.20 21:26:27,25.35,244.93,213.9,261.01,212.98,213.6,203.47,211.74,259.02,262,211.43,238.16,212.67,211.74,216.38,209.9,260.34,267.34,212.36,222,205.6,212.67,213.29,211.43,204.99,,27.5,965,34,27.54,
23.07.20 21:26:42,25.6,244.61,213.9,260.34,212.36,212.98,202.86,211.43,257.7,261.01,210.82,237.84,212.36,211.13,214.52,210.2,259.02,266.01,212.36,221.06,205.6,212.36,212.67,211.43,204.99,,27.5,965,34,27.54,
23.07.20 21:26:57,25.85,243.96,213.29,260.01,212.67,212.05,202.86,211.43,256.38,260.01,210.51,237.2,212.36,211.43,213.9,209.9,258.36,265.67,212.36,220.43,204.69,212.67,212.36,211.13,204.69,,27.5,965,34,27.54,
23.07.20 21:27:12,26.1,243.64,213.6,259.02,212.36,213.6,203.17,211.13,255.72,259.35,211.43,236.88,212.36,211.13,213.29,208.97,258.03,265.67,212.36,221.06,205.6,212.67,212.05,211.13,204.38,,27.5,965,34,27.53,
23.07.20 21:27:27,26.35,243.32,213.29,258.69,212.67,212.67,202.56,210.51,255.72,259.68,210.2,235.92,211.74,210.82,212.98,209.59,256.05,264.34,212.05,220.12,204.99,212.67,210.51,210.2,204.38,,27.5,965,34,27.53,
23.07.20 21:27:42,26.6,243.64,213.6,258.36,212.98,212.98,203.17,210.82,254.73,259.35,210.82,235.6,212.67,210.82,213.29,209.9,255.39,264.34,212.36,220.43,206.22,212.36,211.13,211.43,204.69,,27.5,965,34,27.51,
23.07.20 21:27:57,26.85,242.99,213.6,258.36,211.74,212.98,203.17,210.82,253.41,259.68,210.51,235.28,212.05,210.51,212.36,209.28,255.39,263.34,212.05,220.12,204.99,212.67,210.2,210.82,204.38,,27.5,965,34,27.51,
23.07.20 21:28:12,27.1,243.32,213.6,258.36,212.36,213.6,203.17,211.13,254.4,258.69,210.82,235.6,212.67,211.43,212.36,209.59,254.73,263.67,212.67,219.5,205.91,213.29,210.51,211.74,205.3,,27.5,965,34,27.51,
23.07.20 21:28:27,27.35,242.35,213.6,257.7,212.36,212.67,202.86,211.13,253.09,258.36,210.51,234.64,212.05,210.51,211.43,210.2,254.07,262.67,212.05,219.18,204.69,212.36,209.9,210.82,204.69,,27.5,965,34,27.5,
23.07.20 21:28:43,27.62,242.67,213.6,257.7,212.67,212.98,203.47,211.43,252.43,258.36,211.13,234.64,212.98,211.13,211.13,209.59,253.74,262.34,212.05,218.87,205.6,212.67,209.59,211.74,204.99,,27.5,965,34,27.49,
