Measurement Name :,0723_Run3_Juvs,,Generated On :,"23/07/2020, 20:09:58",,,Calibration details for Oxygen,,,Report :,"@m01:IDENTIFICATION
Serial number     : SEBX0007000641      
MUX channel       : ON - 01

PARAMETERS
Sig LED current   : 045
Ref LED current   : 095
Frequency         : 060
Sending interval  : 0000
Pulse lenght      : 06
Red REF comp.     : ON
Temperature comp. : ON

FIRMWARE
ver.4.039.A3.ST   : 04/30/07, 09:14:36
@m01:RDY

",,Other Report :,"Start Temperature : 
End Temperature        : 
Start Humidity         : 
End Humidity           : 
Ref.phase Corre        : 1
Dig. Ampl.Factor       : 
Mod. Coarse Freq.      : 
Mod. Fine Freq.        : 
Mod. Shape             : 
Mono or Stero          : 
Phase Shift            : 
Sampling Rate          : 
Temp. Corr Slop Coef   : 
",,,,,,,,,,,,,,,,,
23.07.20 20:03:00,25,227.46,224.57,201.57,221.69,221.05,219.46,222.01,248.03,232.62,223.61,236.85,220.73,225.85,240.12,221.37,221.05,245.39,225.21,249.36,221.69,225.53,244.4,225.21,238.16,,26.5,965,34,27.07,
23.07.20 20:03:15,25.25,226.49,223.93,200.95,222.01,220.73,219.14,221.69,246.71,231.65,223.61,235.87,220.09,225.21,239.14,221.05,220.73,244.4,223.93,248.7,221.05,225.21,244.4,225.85,237.5,,26.5,965,34,27.05,
23.07.20 20:03:30,25.5,227.13,224.57,200.95,222.33,220.41,219.46,222.01,246.71,231.33,224.57,235.22,221.37,226.17,238.81,221.37,221.05,244.4,224.89,249.03,221.69,225.53,243.74,225.85,238.16,,26.5,965,34,27.04,
23.07.20 20:03:45,25.75,226.49,223.29,201.26,222.01,220.73,219.46,222.33,247.37,231.65,223.93,235.87,220.41,225.85,238.81,222.01,221.05,243.74,224.57,247.04,221.05,225.85,243.08,225.85,236.85,,26.5,965,34,27.04,
23.07.20 20:04:00,26,226.49,223.61,200.95,221.69,221.05,219.78,222.33,246.71,231.33,224.25,235.55,221.37,225.85,238.81,221.37,221.05,243.41,225.21,247.04,221.05,224.89,243.41,225.85,236.85,,26.5,965,34,27.05,
23.07.20 20:04:15,26.25,226.17,223.61,200.33,221.05,220.41,218.5,221.69,245.72,230.36,223.61,234.57,220.41,225.85,238.81,222.01,221.05,242.09,224.25,246.71,220.41,225.21,242.75,225.21,235.87,,26.5,965,34,27.05,
23.07.20 20:04:30,26.5,226.17,223.61,200.33,222.01,220.09,219.78,221.69,246.05,230.03,223.93,234.57,220.41,225.53,237.83,221.69,220.73,241.76,224.89,246.05,221.37,225.21,242.42,225.85,235.87,,26.5,965,34,27.04,
23.07.20 20:04:45,26.75,225.85,224.25,200.64,221.37,220.73,218.82,222.01,245.72,230.03,224.25,234.57,220.09,225.85,237.83,221.37,221.05,240.45,223.93,245.72,220.73,224.89,242.09,225.21,234.9,,26.5,965,34,27.03,
23.07.20 20:05:00,27,225.53,223.93,200.33,221.69,221.05,218.82,222.01,246.05,229.07,223.29,233.92,220.09,225.53,237.83,221.37,220.73,240.78,224.25,245.39,220.41,225.53,242.09,225.53,235.22,,26.5,965,34,27.03,
23.07.20 20:05:15,27.25,225.53,223.93,200.64,221.37,220.73,219.14,222.01,244.73,229.39,223.93,233.6,220.41,225.21,237.83,222.01,220.73,240.12,224.25,244.4,221.69,224.57,242.09,225.85,234.57,,26.5,965,34,27.01,
23.07.20 20:05:30,27.5,225.53,223.61,200.02,221.05,220.73,218.82,222.01,244.73,228.74,222.97,233.27,220.09,224.89,236.85,221.05,220.73,239.14,223.93,243.41,220.73,224.89,241.43,225.85,233.92,,26.5,965,34,27.03,
23.07.20 20:05:45,27.75,225.21,222.97,200.02,221.37,220.09,219.14,222.33,244.73,228.1,222.97,231.65,219.46,225.53,237.5,221.05,220.09,238.49,224.25,243.08,220.73,224.57,241.43,225.53,232.95,,26.5,965,34,27.01,
23.07.20 20:06:01,28.02,225.53,223.61,199.71,222.01,220.09,219.14,221.69,244.4,227.46,222.97,232.3,220.41,224.89,237.18,221.69,220.09,238.16,224.25,242.75,221.37,224.89,240.78,225.21,233.6,,26.5,965,34,27.01,
23.07.20 20:06:16,28.27,224.89,223.61,200.33,222.01,220.41,218.5,222.65,244.07,227.13,223.93,231.65,220.41,224.89,236.53,221.05,220.41,237.83,224.57,243.08,220.41,225.21,240.12,225.21,232.62,,26.5,965,34,27.01,
23.07.20 20:06:31,28.52,224.57,223.93,199.71,221.69,220.09,218.82,221.69,243.08,227.13,223.61,231.65,220.41,224.57,235.87,220.73,220.73,237.18,223.61,241.43,220.09,223.61,240.12,225.21,231.65,,26.5,965,34,27,
23.07.20 20:06:46,28.77,224.57,223.93,199.71,222.01,220.73,218.5,221.69,243.08,226.17,223.61,231,220.41,224.25,235.55,222.01,220.41,237.5,224.25,241.76,220.73,225.21,239.14,225.85,232.62,,26.5,965,34,27,
23.07.20 20:07:01,29.02,223.61,223.29,199.09,221.05,219.78,218.19,221.37,242.75,225.53,222.33,230.68,220.09,224.89,235.87,220.41,219.78,236.2,223.61,240.45,220.41,224.25,239.14,225.85,232.95,,26.5,965,34,27,
23.07.20 20:07:16,29.27,224.89,222.97,199.71,221.05,219.46,218.5,221.37,242.75,225.21,223.61,230.36,220.09,224.25,234.9,220.73,220.09,235.87,224.25,240.45,220.41,224.25,239.14,225.53,232.3,,26.5,965,34,27,
23.07.20 20:07:31,29.52,224.25,223.29,199.71,221.37,219.14,218.82,222.01,242.42,225.21,222.65,230.03,220.09,224.25,235.55,221.05,220.09,235.22,224.25,240.12,221.05,224.89,238.81,225.21,232.62,,26.5,965,34,26.99,
23.07.20 20:07:46,29.77,223.93,223.29,199.4,221.05,219.78,218.5,221.69,242.42,224.89,222.97,230.36,220.41,224.57,235.22,220.73,220.41,234.57,224.25,240.12,221.05,224.89,238.81,225.53,231.33,,26.5,965,34,26.99,
23.07.20 20:08:01,30.02,223.61,222.97,199.09,221.69,219.78,217.87,221.37,242.42,224.57,222.97,229.07,220.09,224.57,234.57,220.73,219.78,234.57,223.93,238.81,221.05,224.25,237.5,225.21,232.3,,26.5,965,34,26.97,
23.07.20 20:08:16,30.27,223.61,222.97,199.4,221.05,219.78,218.5,221.37,241.43,223.93,223.29,229.39,219.78,224.89,234.25,220.73,220.41,233.6,223.93,239.14,220.41,224.57,237.5,224.89,231.65,,26.5,965,34,26.97,
23.07.20 20:08:31,30.52,223.61,223.93,199.4,221.05,219.78,218.82,221.69,242.75,224.25,222.97,229.07,220.09,225.21,234.57,221.37,220.09,233.27,224.25,238.81,221.05,224.25,237.5,224.89,231.98,,26.5,965,34,26.97,
23.07.20 20:08:46,30.77,223.93,223.29,199.4,221.05,219.78,218.5,221.37,242.09,223.93,223.29,228.42,220.09,224.89,234.25,221.05,220.73,233.27,223.93,238.81,221.05,224.89,237.5,225.21,231.65,,26.5,965,34,26.97,
23.07.20 20:09:01,31.02,223.93,222.65,199.4,221.05,219.46,218.5,221.05,241.43,223.61,223.29,228.42,219.78,224.57,234.57,221.05,220.73,232.95,224.25,237.83,220.73,224.57,236.85,224.89,231.65,,26.5,965,34,26.96,
23.07.20 20:09:16,31.27,223.29,223.29,199.09,221.05,219.46,217.55,221.69,240.78,223.29,222.65,227.78,219.78,224.89,233.92,220.73,219.78,232.3,223.61,236.85,220.41,224.89,236.53,225.21,231,,26.5,965,34,26.96,
