Culture:,en-US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/20,11:27:46 AM,1.325E+17,00:00:15,47.75,47.79,49.99,52.32,49.09,48.09,43.57,49.41,47.98,46.67,52.51,49.62,50.94,43.72,54.12,46.95,48.22,47.42,55.5,48.85,44.63,50.08,49.74,47.53,34998,42826,44325,56559,61778,55408,32906,38815,40603,49033,52434,57633,38521,39720,42600,51381,48486,51542,32370,36429,46511,44824,46491,55754,0.1969,0.1956,0.1267,0.0613,0.154,0.1857,0.3524,0.1442,0.1893,0.2337,0.0562,0.1378,0.0992,0.3462,0.0152,0.224,0.1815,0.2079,-0.0179,0.1615,0.3095,0.1241,0.1342,0.2042
11/16/20,11:28:01 AM,1.325E+17,00:00:30,51.91,49.86,50.41,52.13,49.35,50.55,48.02,48.38,49.52,53.35,49.29,50.44,49.83,49.38,46.04,50.14,50.73,49.8,49.26,49.02,49.95,47.9,49.64,48.58,35355,41997,43168,52989,55780,56577,34431,39434,40104,49566,54019,58970,38258,39653,36209,52352,49876,51374,32677,37008,45959,44635,48867,54859,0.0723,0.1306,0.1144,0.0664,0.146,0.1103,0.188,0.1764,0.1408,0.0345,0.1478,0.1135,0.1315,0.1451,0.2562,0.1223,0.1052,0.1324,0.1487,0.1562,0.1279,0.192,0.1372,0.17
11/16/20,11:28:16 AM,1.325E+17,00:00:45,48.23,51.62,50.63,51.24,52.61,50.2,50.82,48.12,48.47,54.18,48.68,50.67,49.58,47.28,46.21,51.53,46.26,49.34,48.38,50.04,46.64,48.86,48.86,54.63,34999,41210,43689,53548,55753,57491,34623,38679,39557,48118,52218,56534,38404,39977,37274,51088,50683,51096,30064,37332,46317,43713,48691,55629,0.1812,0.0802,0.108,0.0907,0.0536,0.1205,0.1026,0.1848,0.1735,0.0137,0.1668,0.1069,0.139,0.2127,0.2501,0.0827,0.2483,0.1463,0.1764,0.1252,0.2348,0.1612,0.1612,0.0027
11/16/20,11:28:31 AM,1.325E+17,00:01:00,43.95,46.45,48.15,50.13,46.24,47.58,46.87,44.92,49.84,47.8,49.08,47.12,46.89,45.2,42.57,47.63,41.26,45.04,44.1,46.62,45.11,46.08,45.99,43.41,33177,45557,47159,54814,55798,56294,32855,40012,38975,47344,52032,61210,39453,40785,36861,49820,52096,51680,29472,37541,47072,44010,47887,53670,0.3367,0.2415,0.1838,0.1226,0.249,0.2026,0.2268,0.2982,0.1312,0.1953,0.1543,0.2181,0.2261,0.2874,0.3956,0.2009,0.4563,0.2935,0.3306,0.2355,0.2909,0.2548,0.258,0.3592
11/16/20,11:28:46 AM,1.325E+17,00:01:15,45.25,54.08,56.15,55.55,53.58,57.72,48.67,49.92,51.96,54.45,54.2,53.61,51.63,47.5,45.3,49.79,52.16,52.83,51.87,51.94,53.29,50.57,54.29,49.44,35523,40853,41695,52662,55957,59715,33583,39593,39804,49591,50863,62273,38975,41378,32696,51396,53154,51305,33237,37786,46286,45578,46992,52172,0.2855,0.0162,-0.0328,-0.0191,0.0286,-0.0674,0.1671,0.1288,0.0709,0.0071,0.0132,0.0279,0.0799,0.2053,0.2836,0.1327,0.0655,0.0478,0.0734,0.0715,0.036,0.1098,0.011,0.1432
11/16/20,11:29:01 AM,1.325E+17,00:01:30,51.71,50.67,50.48,51.94,52.13,46.99,56.05,49.58,50.02,51.58,50.35,50.78,50.55,54.4,58.21,48.52,47.4,48.12,51.64,49.88,47.13,48.64,48.26,47.73,31782,40191,43581,54986,46903,58601,35735,39045,39532,48423,52456,65048,37894,37065,32905,53889,48811,54729,31788,36063,45730,44527,47172,53017,0.0777,0.1069,0.1124,0.0715,0.0664,0.2226,-0.0306,0.139,0.1258,0.0813,0.1161,0.1037,0.1103,0.0083,-0.0778,0.1719,0.2086,0.1848,0.0797,0.13,0.2178,0.1681,0.1802,0.1976
11/16/20,11:29:16 AM,1.325E+17,00:01:45,44.55,52.85,51.39,50.92,52.15,49.45,47.78,49.79,49.69,50.87,50.52,47.38,48.6,48.37,46.28,47.85,47.77,47.97,50.92,49.73,46.9,47.34,48.61,47.99,34592,41695,42258,54805,56073,56766,38346,38836,40320,49723,51659,60135,37933,40615,35687,51411,48557,51199,31134,37362,45869,44921,49423,54564,0.3126,0.0473,0.0866,0.0997,0.0658,0.1429,0.1959,0.1327,0.1357,0.1012,0.1112,0.2093,0.1693,0.1767,0.2476,0.1936,0.1963,0.1897,0.0997,0.1345,0.2257,0.2106,0.169,0.189
11/16/20,11:29:31 AM,1.325E+17,00:02:00,47.34,50.5,49.09,46.52,49.56,48.34,48.15,47.46,44.31,51.75,54.45,46.86,53,51.06,47.81,48.54,52.35,52.58,46.28,47.63,47.46,44.95,49.24,44.7,35800,40480,43215,55387,47998,59941,34192,39485,40080,48466,52401,56882,39890,38826,43845,46427,49563,53468,33743,37184,45960,42796,46003,58162,0.2106,0.1118,0.154,0.239,0.1396,0.1777,0.1838,0.2066,0.3222,0.0766,0.0071,0.2271,0.0434,0.0958,0.1949,0.1713,0.0605,0.0544,0.2476,0.2009,0.2066,0.297,0.1494,0.3067
11/16/20,11:29:46 AM,1.325E+17,00:02:15,45.18,50.65,49.43,48.5,53.16,49.6,46.59,44.64,54.66,47.45,50.23,48.06,49.11,57.67,50.91,47.02,47.02,51.04,44.27,50.09,45.04,48.19,48.09,42.67,34676,42364,44542,56037,65883,55640,34881,40494,40671,45646,51530,63972,39022,36388,37625,52433,50894,47821,33679,38272,44919,45128,50240,59847,0.2882,0.1075,0.1435,0.1725,0.0393,0.1384,0.2365,0.3091,0.002,0.2069,0.1196,0.1867,0.1534,-0.0664,0.1,0.2216,0.2216,0.0964,0.3238,0.1238,0.2935,0.1825,0.1857,0.3911
11/16/20,11:30:01 AM,1.325E+17,00:02:30,47.1,50.48,53.66,56.19,57.64,42.45,49.92,52.21,55.46,55.15,54.86,48.01,48.93,51.94,52.23,53.58,45.13,49.49,43.3,51.46,51.15,49.23,52.07,55.55,33598,37959,39120,55317,58939,57941,31262,39491,41684,47657,52532,65086,37108,40802,37028,52831,45220,48677,32339,36154,41858,43243,48810,52827,0.2188,0.1124,0.0266,-0.0338,-0.0657,0.4009,0.1288,0.0642,-0.017,-0.0097,-0.0028,0.1884,0.159,0.0715,0.0637,0.0286,0.2901,0.1417,0.3638,0.0846,0.0933,0.1497,0.068,-0.0191
