"","Gene","module"
"adi2mcaRNA3395_R0","adi2mcaRNA3395_R0",0
"g17214","g17214",4
"g17212","g17212",1
"g17213","g17213",1
"g17210","g17210",6
"g17211","g17211",0
"g57630","g57630",2
"g57631","g57631",0
"g57632","g57632",8
"g57635","g57635",0
"adi2mcaRNA22733_R0","adi2mcaRNA22733_R0",1
"g9223","g9223",1
"g61598","g61598",1
"g61594","g61594",1
"g61595","g61595",1
"g53605","g53605",1
"g53604","g53604",0
"g53608","g53608",3
"g60702","g60702",2
"g34654","g34654",2
"g34657","g34657",1
"g56273","g56273",0
"g56275","g56275",1
"g56274","g56274",1
"g60707","g60707",0
"g58383","g58383",3
"g48008","g48008",0
"g48003","g48003",0
"g48002","g48002",6
"g24314","g24314",0
"g7528","g7528",4
"g7529","g7529",7
"g31692","g31692",5
"g26228","g26228",6
"g26226","g26226",1
"adi2mcaRNA13008_R0","adi2mcaRNA13008_R0",6
"g4388","g4388",0
"g4384","g4384",4
"g45178","g45178",0
"g45174","g45174",1
"g45175","g45175",0
"g45176","g45176",2
"g45177","g45177",2
"g58564","g58564",1
"adi2mcaRNA5059_R0","adi2mcaRNA5059_R0",2
"g11176","g11176",2
"g10881","g10881",0
"g10884","g10884",1
"g37084","g37084",6
"g26335","g26335",0
"adi2mcaRNA41444_R0","adi2mcaRNA41444_R0",4
"g5038","g5038",1
"g5039","g5039",0
"g53387","g53387",0
"g43433","g43433",1
"g43432","g43432",0
"g41115","g41115",1
"adi2mcaRNA2572_R2","adi2mcaRNA2572_R2",3
"g10225","g10225",4
"g29288","g29288",1
"adi2mcaRNA15683_R0","adi2mcaRNA15683_R0",1
"g70980","g70980",2
"adi2mcaRNA26115_R9","adi2mcaRNA26115_R9",1
"adi2mcaRNA26115_R4","adi2mcaRNA26115_R4",1
"adi2mcaRNA26115_R2","adi2mcaRNA26115_R2",1
"adi2mcaRNA26115_R0","adi2mcaRNA26115_R0",1
"adi2mcaRNA354_R1","adi2mcaRNA354_R1",1
"g38615","g38615",1
"g32972","g32972",0
"g32973","g32973",1
"g32971","g32971",1
"g32976","g32976",4
"g32977","g32977",0
"g32974","g32974",1
"g32975","g32975",1
"g45999","g45999",2
"adi2mcaRNA20384_R0","adi2mcaRNA20384_R0",1
"g45991","g45991",0
"g38616","g38616",2
"g40318","g40318",1
"g40313","g40313",1
"g40310","g40310",2
"g40317","g40317",0
"g40315","g40315",2
"g23063","g23063",7
"g48872","g48872",2
"g64061","g64061",0
"g19163","g19163",0
"g15232","g15232",0
"adi2mcaRNA951_R0","adi2mcaRNA951_R0",0
"g29744","g29744",4
"g29747","g29747",9
"adi2mcaRNA18329_R0","adi2mcaRNA18329_R0",1
"adi2mcaRNA19051_R8","adi2mcaRNA19051_R8",0
"g33768","g33768",2
"adi2mcaRNA11782_R0","adi2mcaRNA11782_R0",0
"g41192","g41192",0
"g23797","g23797",0
"g23798","g23798",0
"g18784","g18784",4
"g18787","g18787",4
"g46083","g46083",1
"g32497","g32497",2
"g41732","g41732",2
"g41730","g41730",1
"g41731","g41731",0
"g41738","g41738",1
"g46332","g46332",4
"g46331","g46331",0
"g46335","g46335",4
"g46339","g46339",0
"g32148","g32148",2
"g41050","g41050",0
"g28824","g28824",0
"g35191","g35191",2
"g35195","g35195",2
"g49483","g49483",1
"g4654","g4654",7
"adi2mcaRNA6692_R0","adi2mcaRNA6692_R0",0
"g19954","g19954",2
"g41054","g41054",1
"g21554","g21554",3
"g21555","g21555",0
"g21557","g21557",0
"g25428","g25428",1
"g25429","g25429",6
"g47507","g47507",1
"g25424","g25424",1
"g25426","g25426",0
"g25427","g25427",0
"g25423","g25423",1
"g45536","g45536",0
"g28170","g28170",2
"g28175","g28175",5
"g29880","g29880",1
"g29881","g29881",1
"g29886","g29886",0
"g29887","g29887",1
"g29884","g29884",0
"g29885","g29885",0
"g20603","g20603",1
"adi2mcaRNA22478_R0","adi2mcaRNA22478_R0",4
"g64672","g64672",0
"g44894","g44894",2
"g46856","g46856",0
"g46852","g46852",0
"g71539","g71539",0
"g46859","g46859",0
"g29224","g29224",1
"g29222","g29222",1
"g29223","g29223",4
"g29220","g29220",1
"adi2mcaRNA4811_R0","adi2mcaRNA4811_R0",0
"adi2mcaRNA27477_R0","adi2mcaRNA27477_R0",1
"g5439","g5439",1
"g28144","g28144",0
"adi2mcaRNA23140_R2","adi2mcaRNA23140_R2",2
"g28146","g28146",0
"g28147","g28147",1
"g28140","g28140",0
"g28142","g28142",0
"g63674","g63674",8
"g65983","g65983",6
"g27049","g27049",0
"g8019","g8019",1
"adi2mcaRNA15775_R0","adi2mcaRNA15775_R0",0
"g23969","g23969",3
"g44890","g44890",1
"g44892","g44892",2
"g68777","g68777",1
"g68778","g68778",1
"g58095","g58095",2
"adi2mcaRNA23538_R3","adi2mcaRNA23538_R3",1
"adi2mcaRNA179_R1","adi2mcaRNA179_R1",2
"g20094","g20094",0
"g1829","g1829",2
"g26872","g26872",6
"g26870","g26870",0
"g1821","g1821",3
"g26875","g26875",6
"adi2mcaRNA32207_R1","adi2mcaRNA32207_R1",0
"g59483","g59483",2
"g60387","g60387",2
"g60383","g60383",0
"g59734","g59734",6
"g53496","g53496",1
"g23904","g23904",1
"g47257","g47257",2
"g16667","g16667",4
"g12783","g12783",0
"g12782","g12782",10
"g12784","g12784",0
"g56337","g56337",0
"adi2mcaRNA39678_R0","adi2mcaRNA39678_R0",0
"g3452","g3452",0
"g3453","g3453",0
"g3456","g3456",3
"g3458","g3458",3
"g16847","g16847",9
"g16843","g16843",2
"adi2mcaRNA17284_R0","adi2mcaRNA17284_R0",3
"g10925","g10925",5
"g10927","g10927",1
"g4222","g4222",5
"g42621","g42621",1
"g42620","g42620",1
"g42623","g42623",0
"g42622","g42622",1
"adi2mcaRNA5046_R2","adi2mcaRNA5046_R2",2
"g42191","g42191",2
"g42190","g42190",0
"g12166","g12166",0
"g48263","g48263",0
"g15798","g15798",2
"g33940","g33940",10
"g33941","g33941",0
"g33942","g33942",0
"g33943","g33943",1
"g33944","g33944",6
"g33946","g33946",4
