"","Gene","module"
"g12285","g12285",1
"adi2mcaRNA41404_R0","adi2mcaRNA41404_R0",4
"g12281","g12281",10
"g29435","g29435",0
"adi2mcaRNA38159_R1","adi2mcaRNA38159_R1",0
"g37385","g37385",4
"g37388","g37388",5
"g37389","g37389",4
"g36036","g36036",3
"g36039","g36039",2
"g36038","g36038",1
"g66726","g66726",2
"g66727","g66727",2
"adi2mcaRNA21245_R0","adi2mcaRNA21245_R0",5
"g67098","g67098",4
"g25928","g25928",0
"g33237","g33237",2
"g33235","g33235",0
"g41158","g41158",1
"g27203","g27203",5
"g27204","g27204",1
"g27208","g27208",1
"g27209","g27209",1
"g44824","g44824",4
"g6746","g6746",3
"g8583","g8583",2
"adi2mcaRNA3258_R0","adi2mcaRNA3258_R0",2
"g61028","g61028",1
"g48460","g48460",0
"g61026","g61026",2
"g15906","g15906",0
"g21338","g21338",8
"g21339","g21339",0
"g21335","g21335",0
"g21595","g21595",1
"g55983","g55983",1
"g55986","g55986",1
"g55987","g55987",1
"g27996","g27996",2
"g58188","g58188",1
"g29846","g29846",4
"g29847","g29847",4
"g29845","g29845",4
"g3119","g3119",2
"g4728","g4728",2
"g3111","g3111",1
"g3110","g3110",1
"g5458","g5458",0
"g5459","g5459",2
"g5456","g5456",0
"g5457","g5457",2
"g27552","g27552",1
"g63650","g63650",1
"adi2mcaRNA26938_R0","adi2mcaRNA26938_R0",0
"g11080","g11080",1
"adi2mcaRNA9010_R2","adi2mcaRNA9010_R2",4
"g11085","g11085",5
"g2253","g2253",0
"adi2mcaRNA5243_R0","adi2mcaRNA5243_R0",0
"g57326","g57326",1
"g57324","g57324",0
"g57323","g57323",0
"g5184","g5184",2
"g54982","g54982",1
"g5182","g5182",6
"g61850","g61850",2
"g61852","g61852",0
"g36041","g36041",0
"adi2mcaRNA25403_R0","adi2mcaRNA25403_R0",0
"g68481","g68481",6
"g68482","g68482",6
"g68484","g68484",6
"g68487","g68487",6
"adi2mcaRNA18304_R0","adi2mcaRNA18304_R0",5
"g27555","g27555",1
"g55895","g55895",0
"g60034","g60034",4
"g60035","g60035",1
"adi2mcaRNA5639_R1","adi2mcaRNA5639_R1",3
"g6370","g6370",1
"g6371","g6371",0
"g16790","g16790",0
"adi2mcaRNA23476_R0","adi2mcaRNA23476_R0",7
"adi2mcaRNA12756_R7","adi2mcaRNA12756_R7",1
"g726","g726",3
"g727","g727",2
"g54727","g54727",1
"g60701","g60701",1
"g24284","g24284",1
"g54580","g54580",5
"g16048","g16048",2
"g16047","g16047",3
"g12748","g12748",0
"g12740","g12740",0
"adi2mcaRNA1889_R0","adi2mcaRNA1889_R0",0
"g54164","g54164",5
"g54166","g54166",8
"g50895","g50895",1
"g50891","g50891",7
"adi2mcaRNA3019_R0","adi2mcaRNA3019_R0",7
"g50898","g50898",1
"g36636","g36636",5
"g36638","g36638",4
"g32523","g32523",0
"g32524","g32524",3
"g19262","g19262",1
"g52081","g52081",0
"g46289","g46289",0
"g46288","g46288",0
"g13109","g13109",1
"g32298","g32298",2
"g32293","g32293",0
"g32291","g32291",2
"g32297","g32297",0
"g52060","g52060",0
"g32295","g32295",0
"g32294","g32294",0
"adi2mcaRNA32176_R0","adi2mcaRNA32176_R0",2
"g41390","g41390",1
"g36957","g36957",3
"g41398","g41398",7
"g60736","g60736",1
"adi2mcaRNA5308_R0","adi2mcaRNA5308_R0",2
"adi2mcaRNA1174_R0","adi2mcaRNA1174_R0",3
"adi2mcaRNA22656_R2","adi2mcaRNA22656_R2",0
"adi2mcaRNA22656_R0","adi2mcaRNA22656_R0",0
"adi2mcaRNA1577_R2","adi2mcaRNA1577_R2",0
"adi2mcaRNA22656_R4","adi2mcaRNA22656_R4",0
"g43827","g43827",2
"adi2mcaRNA24539_R1","adi2mcaRNA24539_R1",1
"g13103","g13103",1
"g67127","g67127",2
"g16182","g16182",8
"adi2mcaRNA14029_R0","adi2mcaRNA14029_R0",0
"g36021","g36021",0
"g48034","g48034",9
"g40429","g40429",0
"g36997","g36997",1
"g40421","g40421",1
"g36998","g36998",3
"g40427","g40427",2
"g70853","g70853",0
"g28081","g28081",2
"g28083","g28083",0
"g28082","g28082",2
"g28085","g28085",4
"g28084","g28084",0
"g28086","g28086",2
"g28089","g28089",1
"g46707","g46707",2
"g46705","g46705",2
"g46702","g46702",3
"g46701","g46701",1
"g25489","g25489",1
"g1373","g1373",8
"g695","g695",9
"g25484","g25484",2
"g25485","g25485",1
"g28625","g28625",0
"g28624","g28624",0
"g28626","g28626",0
"g70352","g70352",2
"g70353","g70353",2
"g70358","g70358",7
"g20010","g20010",4
"g56836","g56836",0
"g56838","g56838",5
"g15372","g15372",1
"g37229","g37229",4
"g37228","g37228",0
"g21909","g21909",0
"g21903","g21903",1
"g21901","g21901",0
"g37222","g37222",1
"g21907","g21907",2
"g21904","g21904",1
"g62340","g62340",8
"g62342","g62342",3
"g62347","g62347",0
"g62349","g62349",1
"g61655","g61655",2
"g10110","g10110",0
"g10111","g10111",1
"g10112","g10112",1
"g10113","g10113",0
"g28278","g28278",0
"g40172","g40172",0
"adi2mcaRNA22454_R5","adi2mcaRNA22454_R5",2
"adi2mcaRNA22454_R2","adi2mcaRNA22454_R2",0
"adi2mcaRNA22454_R0","adi2mcaRNA22454_R0",0
"g44012","g44012",0
"g41519","g41519",2
"g36174","g36174",0
"g36178","g36178",1
"g36179","g36179",1
"g67448","g67448",1
"g67449","g67449",0
"g67445","g67445",0
"g67446","g67446",0
"adi2mcaRNA11065_R1","adi2mcaRNA11065_R1",1
"g63791","g63791",0
"adi2mcaRNA25682_R1","adi2mcaRNA25682_R1",2
"g34567","g34567",1
"g70587","g70587",0
"g26590","g26590",10
"g41831","g41831",6
"g41830","g41830",1
"g34561","g34561",3
"g41832","g41832",2
"g51632","g51632",2
"g51631","g51631",1
"g60239","g60239",0
"g60237","g60237",0
"g60233","g60233",5
"g60230","g60230",2
"g69519","g69519",0
"g25712","g25712",0
"g69515","g69515",0
"g25710","g25710",0
"g69512","g69512",1
"g64935","g64935",3
"g64934","g64934",2
"g64936","g64936",0
"g64933","g64933",0
"g33394","g33394",0
"adi2mcaRNA16471_R0","adi2mcaRNA16471_R0",0
"g27419","g27419",1
"g27418","g27418",0
"adi2mcaRNA36505_R0","adi2mcaRNA36505_R0",1
"adi2mcaRNA26165_R0","adi2mcaRNA26165_R0",6
"g60651","g60651",1
"g24142","g24142",5
"g24146","g24146",1
"g24147","g24147",0
"g32470","g32470",1
"g26432","g26432",3
"g26435","g26435",4
"g7480","g7480",0
"g52817","g52817",2
"g52816","g52816",6
"g47574","g47574",2
"g52811","g52811",0
"g57823","g57823",1
"adi2mcaRNA30802_R0","adi2mcaRNA30802_R0",0
"adi2mcaRNA30802_R1","adi2mcaRNA30802_R1",0
"adi2mcaRNA8975_R0","adi2mcaRNA8975_R0",2
"g14170","g14170",0
"adi2mcaRNA19947_R1","adi2mcaRNA19947_R1",4
"g65307","g65307",1
"g27807","g27807",0
"adi2mcaRNA19427_R9","adi2mcaRNA19427_R9",2
"g16585","g16585",2
"g5229","g5229",3
"g5223","g5223",0
"g5222","g5222",0
"g5224","g5224",4
"adi2mcaRNA26443_R0","adi2mcaRNA26443_R0",1
"g31855","g31855",9
"g39967","g39967",7
"g63247","g63247",0
"g63248","g63248",0
"g35199","g35199",0
"adi2mcaRNA7186_R0","adi2mcaRNA7186_R0",4
"adi2mcaRNA2026_R0","adi2mcaRNA2026_R0",3
"g35193","g35193",2
"g35192","g35192",1
"g2949","g2949",0
"g35194","g35194",9
"g35197","g35197",2
"g34822","g34822",1
"g57804","g57804",0
"g35449","g35449",3
"g1419","g1419",2
"g69499","g69499",2
"g69498","g69498",0
"g32871","g32871",2
"g32877","g32877",2
"adi2mcaRNA32178_R0","adi2mcaRNA32178_R0",0
"g52046","g52046",5
"g52047","g52047",0
"g52040","g52040",9
"g52042","g52042",2
"g52048","g52048",1
"g69497","g69497",0
"g29115","g29115",1
"g29117","g29117",7
"g29111","g29111",5
"g13629","g13629",1
"g13628","g13628",2
"adi2mcaRNA9646_R1","adi2mcaRNA9646_R1",5
"adi2mcaRNA21731_R0","adi2mcaRNA21731_R0",0
"adi2mcaRNA9646_R3","adi2mcaRNA9646_R3",5
"adi2mcaRNA9646_R5","adi2mcaRNA9646_R5",5
"g24210","g24210",1
"g4899","g4899",1
"g15708","g15708",2
"g18426","g18426",4
"g12747","g12747",0
"g32316","g32316",1
"g32317","g32317",1
"g32314","g32314",3
"g32312","g32312",0
"g32313","g32313",5
"g31753","g31753",1
"g31752","g31752",0
"g42580","g42580",2
"g42581","g42581",2
"g31776","g31776",3
"g31778","g31778",0
"g67931","g67931",4
"g67932","g67932",4
"g43988","g43988",0
"g43981","g43981",1
"g43980","g43980",0
"adi2mcaRNA24510_R0","adi2mcaRNA24510_R0",1
"g12741","g12741",0
"g39558","g39558",4
"g47749","g47749",6
"g12664","g12664",5
"g33863","g33863",5
"g33866","g33866",1
"g33868","g33868",1
"g64774","g64774",0
"adi2mcaRNA33399_R0","adi2mcaRNA33399_R0",2
"adi2mcaRNA34167_R1","adi2mcaRNA34167_R1",8
"g36230","g36230",1
"g65791","g65791",4
"g11607","g11607",0
"g32087","g32087",5
"g46914","g46914",0
"g46910","g46910",4
"adi2mcaRNA31290_R2","adi2mcaRNA31290_R2",0
"g24034","g24034",4
"adi2mcaRNA31924_R0","adi2mcaRNA31924_R0",0
"g65422","g65422",1
"g65425","g65425",0
"g65427","g65427",0
"g65428","g65428",1
"adi2mcaRNA7685_R0","adi2mcaRNA7685_R0",1
"adi2mcaRNA19015_R0","adi2mcaRNA19015_R0",4
"g66210","g66210",2
"g66216","g66216",0
"g37411","g37411",0
"adi2mcaRNA28341_R1","adi2mcaRNA28341_R1",0
"adi2mcaRNA28341_R0","adi2mcaRNA28341_R0",0
"g70494","g70494",0
"g63483","g63483",4
"g17608","g17608",1
"adi2mcaRNA19993_R0","adi2mcaRNA19993_R0",5
"adi2mcaRNA23861_R2","adi2mcaRNA23861_R2",0
"g60587","g60587",0
"adi2mcaRNA30750_R0","adi2mcaRNA30750_R0",2
"g9206","g9206",0
"g9205","g9205",2
"g9204","g9204",0
"g60689","g60689",1
"g60688","g60688",3
"adi2mcaRNA16801_R0","adi2mcaRNA16801_R0",0
"g60687","g60687",1
"g40334","g40334",3
"g31197","g31197",0
"adi2mcaRNA9787_R0","adi2mcaRNA9787_R0",0
"g59528","g59528",1
"g31199","g31199",1
"g31198","g31198",1
"g17164","g17164",0
"g57589","g57589",0
"g31424","g31424",0
"g16418","g16418",2
"g16417","g16417",0
"g16416","g16416",0
"g21289","g21289",8
"g8630","g8630",3
"g8633","g8633",0
"g8632","g8632",2
"g8639","g8639",0
"g53649","g53649",4
"g21753","g21753",0
"g53640","g53640",4
"g56234","g56234",0
"g7690","g7690",3
"g55527","g55527",1
"g58341","g58341",0
"adi2mcaRNA19271_R2","adi2mcaRNA19271_R2",0
"g55528","g55528",6
"g44666","g44666",1
"adi2mcaRNA26720_R2","adi2mcaRNA26720_R2",2
"g37994","g37994",2
"g68898","g68898",4
"g68892","g68892",1
"g68890","g68890",6
"g5920","g5920",0
"g6355","g6355",1
"g49629","g49629",2
"g49622","g49622",0
"g49623","g49623",1
"g54696","g54696",0
"g54695","g54695",0
"g54698","g54698",1
"adi2mcaRNA36829_R1","adi2mcaRNA36829_R1",2
"adi2mcaRNA709_R1","adi2mcaRNA709_R1",0
"g70359","g70359",1
"g3955","g3955",7
"g3954","g3954",2
"g1339","g1339",2
"g1336","g1336",0
"adi2mcaRNA2379_R1","adi2mcaRNA2379_R1",1
"adi2mcaRNA2379_R0","adi2mcaRNA2379_R0",1
"g58935","g58935",0
"g44173","g44173",0
"g1593","g1593",0
"g1590","g1590",0
"g41905","g41905",2
"g1596","g1596",1
"adi2mcaRNA40972_R3","adi2mcaRNA40972_R3",0
"adi2mcaRNA1711_R0","adi2mcaRNA1711_R0",0
"adi2mcaRNA15305_R0","adi2mcaRNA15305_R0",0
"g62532","g62532",0
"g32939","g32939",1
"g32936","g32936",1
"g32937","g32937",1
"g32935","g32935",2
"g32932","g32932",1
"g32931","g32931",1
"g28479","g28479",0
"adi2mcaRNA32619_R0","adi2mcaRNA32619_R0",0
"g7992","g7992",0
"g7997","g7997",1
"g37266","g37266",0
"g19122","g19122",0
"g70632","g70632",1
"g23330","g23330",0
"g36305","g36305",1
"g36304","g36304",0
"g18298","g18298",6
"g18291","g18291",0
"g66942","g66942",0
"g66940","g66940",0
"g18743","g18743",0
"g18742","g18742",6
"g23026","g23026",1
"g18746","g18746",1
"g37269","g37269",9
"g46373","g46373",1
"g42469","g42469",4
"g32108","g32108",1
"g32100","g32100",3
"g28867","g28867",0
"g28865","g28865",0
"g9121","g9121",4
"g9127","g9127",2
"g28868","g28868",4
"g3443","g3443",0
"g63511","g63511",1
"g9694","g9694",2
"g64090","g64090",1
"g64096","g64096",1
"g64094","g64094",1
"g19911","g19911",6
"g65329","g65329",6
"g25469","g25469",5
"g58102","g58102",0
"g58101","g58101",0
"adi2mcaRNA9486_R1","adi2mcaRNA9486_R1",0
"g4238","g4238",1
"adi2mcaRNA15149_R1","adi2mcaRNA15149_R1",1
"g6826","g6826",2
"g27910","g27910",1
"g27917","g27917",1
"g27918","g27918",0
"g27919","g27919",2
"g48515","g48515",2
"g9905","g9905",0
"g23924","g23924",0
"g23922","g23922",0
"g23921","g23921",2
"g16610","g16610",1
"adi2mcaRNA27327_R1","adi2mcaRNA27327_R1",0
"g54908","g54908",0
"g54907","g54907",0
"g63074","g63074",3
"g38248","g38248",2
"g36434","g36434",0
"g60523","g60523",5
"g34163","g34163",7
"g4468","g4468",0
"g10572","g10572",4
"g10577","g10577",1
"g49145","g49145",0
"g4465","g4465",3
"g49141","g49141",2
"g55291","g55291",0
"g61695","g61695",2
"g61694","g61694",1
"g61693","g61693",1
"g61692","g61692",2
"g61691","g61691",1
"g26837","g26837",0
"g26835","g26835",0
"g26833","g26833",2
"adi2mcaRNA19992_R1","adi2mcaRNA19992_R1",5
"g26838","g26838",2
"g32502","g32502",2
"adi2mcaRNA18217_R0","adi2mcaRNA18217_R0",1
"g35388","g35388",1
"adi2mcaRNA29236_R0","adi2mcaRNA29236_R0",3
"g39605","g39605",0
"g53439","g53439",4
"g41319","g41319",1
"g44149","g44149",1
"g3418","g3418",0
"g5719","g5719",0
"g5711","g5711",1
"g1826","g1826",0
"g14894","g14894",3
"adi2mcaRNA33660_R1","adi2mcaRNA33660_R1",1
"adi2mcaRNA10809_R0","adi2mcaRNA10809_R0",2
"g42660","g42660",2
"g66471","g66471",9
"g49870","g49870",2
"g49872","g49872",2
"g49876","g49876",1
"adi2mcaRNA33586_R2","adi2mcaRNA33586_R2",0
"g35353","g35353",5
"g30183","g30183",0
"g30184","g30184",4
"g35359","g35359",1
"g36917","g36917",2
"g36913","g36913",1
"g54968","g54968",6
"g18884","g18884",2
"g33981","g33981",5
"g33982","g33982",4
"g33983","g33983",5
"g33988","g33988",0
"g33989","g33989",10
"adi2mcaRNA5107_R0","adi2mcaRNA5107_R0",4
"g43208","g43208",4
"g14872","g14872",1
"g34401","g34401",0
"g70600","g70600",5
"g34404","g34404",8
"g34408","g34408",0
"adi2mcaRNA32866_R0","adi2mcaRNA32866_R0",0
"g47435","g47435",0
"g62474","g62474",3
"g62472","g62472",0
"g62473","g62473",3
"g47439","g47439",3
"g62471","g62471",2
"g33976","g33976",1
"g32767","g32767",1
"g24917","g24917",2
"g24915","g24915",1
"g29572","g29572",0
"g29570","g29570",0
"g33796","g33796",6
"g16584","g16584",1
"adi2mcaRNA29875_R3","adi2mcaRNA29875_R3",0
"g66180","g66180",2
"adi2mcaRNA10310_R0","adi2mcaRNA10310_R0",1
"g22542","g22542",0
"g22543","g22543",1
"g22540","g22540",4
"g22546","g22546",4
"g33175","g33175",0
"g33176","g33176",6
"g66573","g66573",2
"g66570","g66570",0
"g33179","g33179",1
"g33178","g33178",0
"g23499","g23499",0
"g23498","g23498",1
"g67225","g67225",6
"g31448","g31448",0
"g31441","g31441",2
"g31440","g31440",2
"g44919","g44919",1
"g44477","g44477",0
"g6857","g6857",0
"g35099","g35099",0
"g15171","g15171",2
"g48635","g48635",1
"g34474","g34474",0
"g70634","g70634",1
"g61101","g61101",1
"g20562","g20562",9
"g56114","g56114",1
"g56112","g56112",1
"adi2mcaRNA20756_R1","adi2mcaRNA20756_R1",0
"adi2mcaRNA20756_R0","adi2mcaRNA20756_R0",0
"g56111","g56111",0
"g6851","g6851",0
"g1933","g1933",2
"g13851","g13851",1
"g40036","g40036",0
"adi2mcaRNA18213_R0","adi2mcaRNA18213_R0",0
"g29961","g29961",4
"g29962","g29962",0
"g25231","g25231",3
"g25233","g25233",2
"g22956","g22956",0
"g22959","g22959",1
"g1936","g1936",2
"g40034","g40034",3
"adi2mcaRNA23545_R0","adi2mcaRNA23545_R0",0
"g12336","g12336",0
"g12811","g12811",2
"g64239","g64239",2
"g55446","g55446",1
"g9281","g9281",2
"g1875","g1875",0
"g57244","g57244",2
"g61950","g61950",0
"g61952","g61952",1
"g61953","g61953",1
"g33217","g33217",1
"g35111","g35111",1
"g35112","g35112",1
"g39478","g39478",0
"g35118","g35118",0
"g52743","g52743",2
"adi2mcaRNA23465_R1","adi2mcaRNA23465_R1",4
"adi2mcaRNA23465_R0","adi2mcaRNA23465_R0",4
"g9224","g9224",0
"g9226","g9226",5
"g36686","g36686",0
"g15059","g15059",4
"g68148","g68148",2
"g68149","g68149",4
"g85","g85",1
"g34648","g34648",1
"g34644","g34644",1
"g34645","g34645",1
"g88","g88",1
"g34640","g34640",6
"g69810","g69810",1
"g52596","g52596",0
"g52595","g52595",2
"g52590","g52590",2
"g34399","g34399",4
"g69790","g69790",0
"g34391","g34391",0
"g34392","g34392",3
"g34394","g34394",3
"g34395","g34395",3
"g34396","g34396",0
"g53970","g53970",5
"adi2mcaRNA14986_R0","adi2mcaRNA14986_R0",3
"g52622","g52622",0
"g52625","g52625",0
"g52626","g52626",5
"g52627","g52627",4
"g48053","g48053",0
"g15478","g15478",0
"adi2mcaRNA28758_R1","adi2mcaRNA28758_R1",0
"g43268","g43268",0
"g54281","g54281",0
"g54283","g54283",0
"g54285","g54285",2
"g54286","g54286",6
"g54287","g54287",1
"g54288","g54288",0
"g45500","g45500",4
"g35336","g35336",6
"g35330","g35330",0
"adi2mcaRNA29974_R0","adi2mcaRNA29974_R0",1
"g40404","g40404",6
"g35014","g35014",0
"adi2mcaRNA9177_R2","adi2mcaRNA9177_R2",3
"g35015","g35015",0
"adi2mcaRNA5019_R0","adi2mcaRNA5019_R0",0
"g35017","g35017",0
"g35010","g35010",2
"g66172","g66172",2
"g35013","g35013",2
"adi2mcaRNA16448_R0","adi2mcaRNA16448_R0",2
"adi2mcaRNA17040_R1","adi2mcaRNA17040_R1",0
"g16872","g16872",0
"g12174","g12174",1
"g70821","g70821",0
"g70829","g70829",3
"g26276","g26276",4
"g26270","g26270",0
"g48485","g48485",0
"g26271","g26271",0
"g26273","g26273",1
"g41501","g41501",7
"g41503","g41503",4
"g31133","g31133",0
"g31132","g31132",6
"g47218","g47218",6
"g70892","g70892",1
"g20467","g20467",3
"g35252","g35252",1
"g35253","g35253",0
"g35250","g35250",0
"g35258","g35258",2
"g71052","g71052",0
"g43015","g43015",2
"g43017","g43017",6
"g43016","g43016",2
"g43019","g43019",0
"g43018","g43018",1
"g40299","g40299",0
"g40292","g40292",0
"g46625","g46625",2
"g46624","g46624",1
"g46627","g46627",2
"g1758","g1758",0
"g1751","g1751",0
"g1752","g1752",3
"g1756","g1756",3
"g13753","g13753",1
"g62849","g62849",0
"adi2mcaRNA23187_R0","adi2mcaRNA23187_R0",1
"g62840","g62840",0
"g62847","g62847",0
"g62845","g62845",0
"g28547","g28547",7
"g54274","g54274",1
"g28549","g28549",0
"g70013","g70013",9
"g70011","g70011",0
"g70017","g70017",1
"g70015","g70015",0
"g70018","g70018",2
"g38376","g38376",0
"adi2mcaRNA3526_R0","adi2mcaRNA3526_R0",0
"g38379","g38379",0
"adi2mcaRNA31566_R1","adi2mcaRNA31566_R1",0
"g31964","g31964",9
"g31965","g31965",3
"g31969","g31969",0
"g52072","g52072",5
"g37499","g37499",1
"g37496","g37496",1
"g37494","g37494",1
"g37495","g37495",1
"g37493","g37493",2
"g2240","g2240",8
"g66437","g66437",0
"g23512","g23512",2
"g23513","g23513",2
"g23510","g23510",1
"g23516","g23516",3
"g23514","g23514",0
"g67523","g67523",0
"g67526","g67526",0
"g67524","g67524",2
"g52076","g52076",1
"g9283","g9283",3
"g9280","g9280",0
"g60178","g60178",0
"g57670","g57670",2
"adi2mcaRNA17372_R6","adi2mcaRNA17372_R6",5
"adi2mcaRNA18205_R0","adi2mcaRNA18205_R0",2
"adi2mcaRNA21567_R0","adi2mcaRNA21567_R0",1
"adi2mcaRNA26696_R6","adi2mcaRNA26696_R6",3
"adi2mcaRNA14950_R0","adi2mcaRNA14950_R0",2
"adi2mcaRNA26696_R7","adi2mcaRNA26696_R7",3
"g21202","g21202",1
"g37598","g37598",0
"g56109","g56109",1
"g56108","g56108",0
"g51731","g51731",2
"g51736","g51736",1
"g47146","g47146",1
"adi2mcaRNA11895_R7","adi2mcaRNA11895_R7",2
"g48594","g48594",0
"g2080","g2080",1
"g65832","g65832",2
"g2086","g2086",3
"adi2mcaRNA17773_R0","adi2mcaRNA17773_R0",1
"g32277","g32277",4
"g48049","g48049",1
"adi2mcaRNA14851_R1","adi2mcaRNA14851_R1",0
"g50460","g50460",4
"g24354","g24354",0
"g58618","g58618",2
"adi2mcaRNA32466_R1","adi2mcaRNA32466_R1",3
"adi2mcaRNA23081_R1","adi2mcaRNA23081_R1",3
"adi2mcaRNA21649_R0","adi2mcaRNA21649_R0",0
"adi2mcaRNA11551_R0","adi2mcaRNA11551_R0",5
"g60929","g60929",1
"g60922","g60922",2
"g60923","g60923",0
"g46485","g46485",3
"g12990","g12990",1
"g31413","g31413",7
"g12998","g12998",1
"adi2mcaRNA13418_R0","adi2mcaRNA13418_R0",1
"g51240","g51240",0
"g5071","g5071",1
"g5073","g5073",0
"g5075","g5075",0
"g5078","g5078",1
"g42032","g42032",0
"adi2mcaRNA7843_R2","adi2mcaRNA7843_R2",0
"g6064","g6064",4
"g39843","g39843",2
"g39847","g39847",0
"g39845","g39845",1
"g38254","g38254",1
"g35094","g35094",1
"g35095","g35095",2
"g35096","g35096",0
"g10409","g10409",3
"adi2mcaRNA21269_R0","adi2mcaRNA21269_R0",0
"g38253","g38253",1
"g22384","g22384",4
"adi2mcaRNA14051_R0","adi2mcaRNA14051_R0",0
"g58828","g58828",0
"g12392","g12392",0
"g53836","g53836",0
"g53834","g53834",2
"g39853","g39853",3
"g39155","g39155",1
"g39156","g39156",1
"adi2mcaRNA26840_R5","adi2mcaRNA26840_R5",1
"g290","g290",0
"g296","g296",2
"g69999","g69999",2
"adi2mcaRNA18102_R0","adi2mcaRNA18102_R0",0
"g13108","g13108",0
"g13102","g13102",1
"g13100","g13100",2
"g13107","g13107",2
"g13104","g13104",1
"adi2mcaRNA1472_R0","adi2mcaRNA1472_R0",2
"g37650","g37650",0
"g37652","g37652",0
"g33728","g33728",2
"g33724","g33724",0
"g33722","g33722",0
"g23755","g23755",2
"g23756","g23756",4
"g36525","g36525",0
"g36524","g36524",0
"g32455","g32455",4
"g32454","g32454",0
"g69006","g69006",9
"g41776","g41776",4
"g49548","g49548",0
"g32183","g32183",1
"g14570","g14570",1
"g14571","g14571",1
"g49543","g49543",1
"g49545","g49545",0
"g46939","g46939",0
"adi2mcaRNA4492_R0","adi2mcaRNA4492_R0",1
"g67252","g67252",4
"g67254","g67254",3
"adi2mcaRNA29409_R0","adi2mcaRNA29409_R0",0
"g47393","g47393",8
"g47396","g47396",0
"g30967","g30967",0
"g30966","g30966",0
"g30965","g30965",3
"g30964","g30964",3
"g30963","g30963",3
"g30962","g30962",3
"g30960","g30960",0
"g30968","g30968",0
"g47027","g47027",1
"g47028","g47028",6
"g47029","g47029",8
"g43734","g43734",2
"g30466","g30466",1
"g43736","g43736",2
"g43731","g43731",1
"g43732","g43732",3
"g30464","g30464",0
"g30465","g30465",0
"g30463","g30463",2
"g34933","g34933",4
"g34935","g34935",0
"g61152","g61152",2
"adi2mcaRNA3051_R0","adi2mcaRNA3051_R0",2
"g30035","g30035",2
"g30034","g30034",5
"g71573","g71573",3
"g71576","g71576",1
"g71575","g71575",1
"g29269","g29269",2
"g29262","g29262",0
"g29267","g29267",0
"g29264","g29264",1
"g49604","g49604",1
"g65506","g65506",0
"g65505","g65505",0
"g65500","g65500",5
"g70192","g70192",0
"g53880","g53880",1
"g11334","g11334",0
"adi2mcaRNA10664_R0","adi2mcaRNA10664_R0",2
"adi2mcaRNA4109_R0","adi2mcaRNA4109_R0",1
"g48269","g48269",2
"g37355","g37355",1
"g21874","g21874",0
"g27081","g27081",3
"g27082","g27082",2
"g27083","g27083",2
"g21878","g21878",0
"g2532","g2532",0
"g9989","g9989",1
"g48262","g48262",2
"g9983","g9983",1
"adi2mcaRNA22785_R0","adi2mcaRNA22785_R0",1
"g56492","g56492",2
"g56491","g56491",2
"adi2mcaRNA18562_R0","adi2mcaRNA18562_R0",0
"g56498","g56498",0
"g10064","g10064",0
"adi2mcaRNA708_R0","adi2mcaRNA708_R0",3
"g63617","g63617",6
"g9369","g9369",2
"g68733","g68733",1
"g68737","g68737",0
"g9361","g9361",1
"adi2mcaRNA22390_R1","adi2mcaRNA22390_R1",0
"adi2mcaRNA22390_R0","adi2mcaRNA22390_R0",0
"g20052","g20052",2
"g20053","g20053",0
"adi2mcaRNA4619_R0","adi2mcaRNA4619_R0",1
"adi2mcaRNA4619_R1","adi2mcaRNA4619_R1",0
"g17598","g17598",0
"g17590","g17590",2
"g7085","g7085",0
"g60396","g60396",0
"g11236","g11236",1
"g11237","g11237",0
"g25626","g25626",0
"g52492","g52492",0
"g52497","g52497",2
"g69461","g69461",1
"g69462","g69462",0
"g61618","g61618",5
"g65975","g65975",4
"g65972","g65972",0
"g65970","g65970",2
"g65971","g65971",1
"adi2mcaRNA7635_R0","adi2mcaRNA7635_R0",0
"g29943","g29943",0
"adi2mcaRNA17305_R0","adi2mcaRNA17305_R0",1
"adi2mcaRNA32347_R0","adi2mcaRNA32347_R0",0
"g51678","g51678",1
"g51673","g51673",0
"g51670","g51670",0
"adi2mcaRNA7087_R0","adi2mcaRNA7087_R0",4
"adi2mcaRNA35598_R0","adi2mcaRNA35598_R0",0
"g2548","g2548",0
"g2540","g2540",0
"g7797","g7797",0
"g3494","g3494",0
"g21685","g21685",2
"g21681","g21681",2
"g15350","g15350",4
"g15353","g15353",1
"g15357","g15357",1
"adi2mcaRNA4350_R0","adi2mcaRNA4350_R0",2
"g26542","g26542",0
"g26540","g26540",0
"adi2mcaRNA3746_R0","adi2mcaRNA3746_R0",1
"g55770","g55770",9
"g12631","g12631",9
"g62266","g62266",2
"adi2mcaRNA10443_R0","adi2mcaRNA10443_R0",2
"g57952","g57952",3
"g4260","g4260",4
"g4261","g4261",1
"g5790","g5790",6
"g45168","g45168",1
"g11111","g11111",0
"g11075","g11075",0
"g60214","g60214",1
"adi2mcaRNA12_R5","adi2mcaRNA12_R5",1
"g27122","g27122",0
"g27120","g27120",3
"g33900","g33900",3
"g43284","g43284",1
"g43285","g43285",0
"g43287","g43287",2
"g43280","g43280",1
"g43281","g43281",2
"g43282","g43282",1
"adi2mcaRNA32803_R0","adi2mcaRNA32803_R0",0
"g18800","g18800",1
"g18804","g18804",2
"g45166","g45166",1
"adi2mcaRNA32863_R0","adi2mcaRNA32863_R0",0
"g28338","g28338",5
"g28332","g28332",1
