label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,note,compound,compoundId,expectedRtDiff,ppmDiff,parent,Blank1,Blank2,Blank3,Larvae-2_50uL_1,Larvae-2_50uL_2,Larvae-4_50uL_1,Larvae-4_50uL_2,Larvae-6_15-20-Individuals_1,Larvae-6_15-20-Individuals_2
g,0,45,7,126.0663,2.824076,0.8470278,,5-Methylcytosine,5-Methylcytosine,-1,8055.408,126.0663,7848.301,13504.47,34778.98,734053.2,311075.6,406745.2,203650.4,301335.1,290805.7
g,0,46,1,114.0664,2.702963,0.6445037,,Creatinine,Creatinine,-1,8911.213,114.0664,10298.27,7898.738,9402.462,83714.56,302035.1,32066.5,45427.26,32762.14,42848.42
g,0,47,6,137.0457,2.888936,0.8512329,,Hypoxanthine,Hypoxanthine,-1,7403.465,137.0457,0,0,0,77228.91,88094.16,61986.79,83612.73,48664.48,33183.59
g,0,48,6,268.1035,2.609771,0.8554147,,Adenosine,Adenosine,-1,3769.441,268.1035,0,0,4078.367,82374.54,43729.34,80218.87,210989,470752.1,575192
g,0,49,0,136.0617,2.523056,0.09360467,,Adenine,Adenine,-1,7457.859,136.0617,157814.8,168098.5,114457,400267.5,537462.4,361575.3,561987.1,523324.5,615911.6
g,0,50,6,203.2228,1.428972,0.7446667,,Spermine,Spermine,-1,4980.301,203.2228,1.20E+07,1.40E+07,1.17E+07,2.74E+07,3.03E+07,3.02E+07,3.33E+07,3.55E+07,3.83E+07
g,0,51,6,118.0653,1.071212,0.7881256,,Indole,Indole,-1,8606.854,118.0653,24189.28,16585.42,22275.62,2926106,3483784,1419381,1750126,697582.8,806619.5
g,0,52,0,132.0807,1.138147,0.3861539,,3-Methylindole,3-Methylindole,-1,7684.487,132.0807,0,0,0,84184.06,51760.66,29410.97,44739.76,15711.01,29216.07
g,0,53,6,218.1384,4.5041,0.859808,,O-Propanoylcarnitine,O-Propanoylcarnitine,-1,4637.762,218.1384,3157.813,3446.249,10291.55,3176990,1822530,693776.1,732166.8,250544,238823.4
g,0,54,6,316.248,1.947769,0.856658,,O-Decanoyl-L-carnitine,O-Decanoyl-L-carnitine,-1,3194.345,316.248,2858.024,4918.655,0,645567.9,484813.6,242245.7,247808.8,99103.48,81983.12
g,0,55,5,232.154,3.56118,0.8587335,,O-Butanoylcarnitine,O-Butanoylcarnitine,-1,4356.22,232.154,3915.975,4056.878,3840.291,2324833,1632378,363942.7,335453.8,192456.2,178520.2
g,0,56,6,400.3415,1.952928,0.8587105,,L-Palmitoylcarnitine,L-Palmitoylcarnitine,-1,2520.671,400.3415,0,0,0,4364698,3333873,1710740,1780756,519018.9,489594.2
g,0,57,6,288.2166,2.038746,0.858368,,L-Octanoylcarnitine,L-Octanoylcarnitine,-1,3506.11,288.2166,4676.666,4198.447,3037.605,1245978,876481.4,251344.2,251235.4,85563.5,85729.84
g,0,58,6,255.0972,6.052464,0.853913,,Nicotinamide riboside,Nicotinamide riboside,-1,3962.693,255.0972,0,0,0,382934.2,329387.5,295158.7,312850.2,67606.88,74452.52
g,0,59,3,261.0367,10.62589,0.8046052,,Mannose-6-phosphate,Mannose-6-phosphate,-1,3872.708,261.0367,0,0,0,42467.14,31112.24,19329.54,0,0,0
g,0,60,6,284.1,4.215061,0.8535186,,Guanosine,Guanosine,-1,3561.854,284.1,0,0,0,337078.5,94194.06,95020.23,107515.2,14008.55,12314.17
g,0,61,5,118.0609,4.715833,0.8460999,,Guanidinoacetate,Guanidinoacetate,-1,8603.107,118.0609,0,0,0,143109,132347.7,134175.9,178223.6,73221.35,94208.34
g,0,62,6,112.0508,3.133363,0.8529167,,Cytosine,Cytosine,-1,9073.794,112.0508,2848.592,2889.777,3981.153,311917.3,281015.2,18863.48,17414.95,15078.57,43711.61
g,0,63,2,237.1482,1.194391,0.8302052,,Montiporic Acid A,Montiporic Acid A,-1,4264.09,237.1482,3609.713,4942.331,3816.919,0,0,32348.55,26099.18,14691.94,4735.721
g,0,64,0,263.1637,1.202072,0.3763983,,Montiporic Acid B,Montiporic Acid B,-1,3840.469,263.1637,0,3537.892,7004.664,23442.95,0,10314.37,62981.81,0,0
g,0,65,5,246.1557,8.677244,0.8517787,,Arginine-Alanine,Arginine-Alanine,-1,4107.414,246.1557,0,0,0,177647.2,68880.44,54801.56,95345.21,20521.89,0
g,0,66,6,303.1772,9.314159,0.8535466,,Arginine-Glutamine,Arginine-Glutamine,-1,3332.419,303.1772,4774.966,11738.11,10220.65,619562.8,407451.7,837779,867230.2,812057.4,626865.7
g,0,67,5,274.187,7.251725,0.8519233,,Arginine-Valine,Arginine-Valine,-1,3685.724,274.187,0,0,0,132405.2,88695.35,79641.4,56640.24,11417.21,7238.377
g,0,68,4,142.0264,10.17851,0.8516399,,O-Phosphorylethanolamine,O-Phosphorylethanolamine,-1,7143.393,142.0264,0,0,0,214136.9,155467.3,56723.82,50220.02,5282.017,3203.371
g,0,69,4,276.1437,8.626736,0.8342255,,Glutaryl-carnitine,Glutaryl-carnitine,-1,3659.289,276.1437,0,0,0,55932.91,13980.84,12223.57,29562.47,13124.07,4584.126
g,0,70,6,146.1174,7.396372,0.8508267,,Deoxycarnitine,Deoxycarnitine,-1,6940.417,146.1174,24155.11,36001.32,22929.02,5960604,3950435,1629596,1446796,337969.3,367678.1
g,0,71,4,168.0657,5.496027,0.8412486,,4-Hydroxy-L-phenylglycine,4-Hydroxy-L-phenylglycine,-1,6030.509,168.0657,0,0,0,70709.07,50410.73,27503,31143.43,6178.99,21840.24
g,0,72,6,204.1229,5.460889,0.8624001,,O-Acetyl-L-carnitine,O-Acetyl-L-carnitine,-1,4958.459,204.1229,7144.54,7109.62,19251.79,1.44E+07,9752460,8925842,8527772,4484378,6302282
g,0,73,6,138.0549,5.040395,0.806366,,Trigonelline,Trigonelline,-1,7349.617,138.0549,2737.434,2637.528,11213.23,6.28E+07,5.57E+07,3.86E+07,4.44E+07,1.79E+07,2.26E+07
g,0,74,2,170.0923,7.128076,0.6179063,,1-Methylhistidine,1-Methylhistidine,-1,5956.866,170.0923,5703.745,25981.78,3777.483,485277.9,257478.4,87073,86471.93,19813.03,4217.276
g,0,75,6,155.1629,12.44134,0.8578799,,PosIS_Lysine-2H8,PosIS_Lysine-2H8,-1,0.6883829,155.1629,0,0,0,1294840,1401646,1082354,1410707,797656.3,1352727
g,0,76,6,110.0573,7.370539,0.854971,,PosIS_Serine-13C3-15N1,PosIS_Serine-13C3-15N1,-1,3.258146,110.0573,0,0,0,852407.5,849171.2,614585.2,826496.4,474169.3,682263
g,0,77,6,154.1017,7.227206,0.8172362,,PosIS_Glutamine-2H5-15N2,PosIS_Glutamine-2H5-15N2,-1,0.3960704,154.1017,0,0,0,4.10E+07,3.99E+07,2.76E+07,3.54E+07,2.32E+07,3.03E+07
g,0,78,6,273.0757,3.43023,0.8562153,,PosIS_Inosine-15N4,PosIS_Inosine-15N4,-1,1.788077,273.0757,0,0,0,1393531,1507925,907551.2,1302734,712136.3,1375108
